"","Accession","Description","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","Peptides used for quantitation","Confidence score"
"18","ATCG00120.1","| Symbols: ATPA | ATP synthase subunit alpha | chrC:9938-11461 REVERSE LENGTH=507",6946863,2127128.25,1059875.75,0.306199827173791,0.15256897249881,0.986446285204501,0.987634216302651,"6","258"
"19","AT1G16080.1","| Symbols:  | unknown protein; LOCATED IN: apoplast, chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; Has 81 Blast hits to 81 proteins in 28 species: Archae - 0; Bacteria -",1780611,733506.5,307221.5,0.411940901185043,0.172537123493003,0.986210536203474,0.987823224244713,"6","270"
"20","AT5G66190.1","| Symbols: ATLFNR1, FNR1 | ferredoxin-NADP(+)-oxidoreductase 1 | chr5:26451203-26453012 REVERSE LENGTH=360",6136316.66666667,2269193.25,1236335.25,0.369797286102684,0.201478397735884,0.992984866592495,0.992257957928938,"6","321"
"21","AT2G04030.1","| Symbols: CR88, EMB1956, HSP90.5, Hsp88.1, AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780",909132,460624.25,235869,0.506663773797424,0.259444173123375,0.995738730014184,0.999650089219914,"6","241"
"22","AT3G07770.1","| Symbols: CR88, EMB1956, HSP90.5, Hsp88.1, AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780",909132,460624.25,235869,0.506663773797424,0.259444173123375,0.995738730014184,0.999650089219914,"6","241"
"23","AT5G26000.1","| Symbols: TGG1, BGLU38 | thioglucoside glucohydrolase 1 | chr5:9079678-9082347 REVERSE LENGTH=541",4897692.33333333,1433178,1394923.5,0.29262311767644,0.284812398383266,0.998508696677654,0.999387097364801,"6","370"
"24","AT5G09650.1","| Symbols: AtPPa6, PPa6 | pyrophosphorylase 6 | chr5:2991331-2993117 REVERSE LENGTH=300",6194351.33333333,7073320,2401565.5,1.14189841992603,0.387702500353279,0.283098713656045,0.997442953766753,"6","377"
"25","AT1G32470.1","| Symbols:  | Single hybrid motif superfamily protein | chr1:11739479-11740246 REVERSE LENGTH=166",1523567,5912757,3177869.75,3.88086444508184,2.08580899297504,0.0154450756384507,0.0151933880428649,"6","523"
"26","AT2G35370.1","| Symbols:  | Single hybrid motif superfamily protein | chr1:11739479-11740246 REVERSE LENGTH=166",1523567,5912757,3177869.75,3.88086444508184,2.08580899297504,0.0154450756384507,0.0151933880428649,"6","523"
"27","AT3G55440.1","| Symbols: ATCTIMC, TPI, CYTOTPI | triosephosphate isomerase | chr3:20553794-20556078 FORWARD LENGTH=254",1330752,1710231,1037905,1.28516132232001,0.779938711345164,0.216830944997366,0.815893700852302,"6","411"
"28","AT3G16470.1","| Symbols: JR1 | Mannose-binding lectin superfamily protein | chr3:5596096-5597709 REVERSE LENGTH=451",6071713,1237385,217135,0.203795041037019,0.0357617364325356,0.982678352337878,0.986574500953194,"5","352"
"29","AT3G16470.3","| Symbols: JR1 | Mannose-binding lectin superfamily protein | chr3:5596096-5597709 REVERSE LENGTH=451",6071713,1237385,217135,0.203795041037019,0.0357617364325356,0.982678352337878,0.986574500953194,"5","352"
"30","AT1G20620.1","| Symbols: CAT3, SEN2, ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492",1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,"5","178"
"31","AT1G20620.4","| Symbols: CAT3, SEN2, ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492",1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,"5","178"
"32","AT1G20630.1","| Symbols: CAT3, SEN2, ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492",1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,"5","178"
"33","AT4G35090.1","| Symbols: CAT3, SEN2, ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492",1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,"5","178"
"34","AT1G65930.1","| Symbols: cICDH | cytosolic NADP+-dependent isocitrate dehydrogenase | chr1:24539088-24541861 FORWARD LENGTH=410",1051079.66666667,303138.5,80184,0.288406777919466,0.0762872715959685,0.985374928163621,0.985372222423078,"5","259"
"35","AT1G54340.1","| Symbols: cICDH | cytosolic NADP+-dependent isocitrate dehydrogenase | chr1:24539088-24541861 FORWARD LENGTH=410",1051079.66666667,303138.5,80184,0.288406777919466,0.0762872715959685,0.985374928163621,0.985372222423078,"5","259"
"36","AT4G09000.1","| Symbols: GRF1, GF14 CHI | general regulatory factor 1 | chr4:5775387-5777157 FORWARD LENGTH=267",2203082.33333333,854286,527779.75,0.387768530968808,0.239564242341072,0.997986500071348,0.998690247324925,"5","540"
"37","AT4G09000.2","| Symbols: GRF1, GF14 CHI | general regulatory factor 1 | chr4:5775387-5777157 FORWARD LENGTH=267",2203082.33333333,854286,527779.75,0.387768530968808,0.239564242341072,0.997986500071348,0.998690247324925,"5","540"
"38","AT5G42980.1","| Symbols: ATTRX3, ATH3, ATTRXH3, TRXH3, TRX3 | thioredoxin 3 | chr5:17242772-17243718 FORWARD LENGTH=118",797259.666666667,3341798,2811315.75,4.19160549532377,3.5262234721519,0.0164733471692125,0.000162801591249266,"5","238"
"39","AT5G38480.1","| Symbols: GRF3, RCI1 | general regulatory factor 3 | chr5:15410277-15411285 FORWARD LENGTH=255",1030653.66666667,518855,388099,0.503423232052409,0.376556172603729,0.998799009318936,0.999181045995524,"5","456"
"40","AT5G38480.2","| Symbols: GRF3, RCI1 | general regulatory factor 3 | chr5:15410277-15411285 FORWARD LENGTH=255",1030653.66666667,518855,388099,0.503423232052409,0.376556172603729,0.998799009318936,0.999181045995524,"5","456"
"41","AT1G55490.1","| Symbols: CPN60B, LEN1 | chaperonin 60 beta | chr1:20715717-20718673 REVERSE LENGTH=600",2214620.66666667,530539.5,312758.75,0.239562245573433,0.141224524230034,0.996297507164796,0.991482316149268,"5","320"
"42","AT5G56500.1","| Symbols: CPN60B, LEN1 | chaperonin 60 beta | chr1:20715717-20718673 REVERSE LENGTH=600",2214620.66666667,530539.5,312758.75,0.239562245573433,0.141224524230034,0.996297507164796,0.991482316149268,"5","320"
"43","AT2G37660.1","| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325",1066561.66666667,2807065.75,742916,2.63188321662914,0.696552316868692,0.0203678620218515,0.888566345026555,"5","248"
"44","AT1G32060.1","| Symbols: PRK | phosphoribulokinase | chr1:11532668-11534406 FORWARD LENGTH=395",4372043.66666667,1635327.75,1063445.75,0.374041952615447,0.243237678092724,0.968392517118109,0.971796667377364,"5","324"
"45","AT1G62480.1","| Symbols:  | Vacuolar calcium-binding protein-related | chr1:23128799-23129548 FORWARD LENGTH=152",12141295.6666667,1789352.25,2434882,0.147377372162394,0.200545482693816,0.951836680409978,0.94630768178995,"5","396"
"46","AT4G24770.1","| Symbols: RBP31, ATRBP31, CP31, ATRBP33 | 31-kDa RNA binding protein | chr4:12766223-12767952 REVERSE LENGTH=329",1164090,394524.25,503197,0.338912154558496,0.432266405518474,0.974663432144006,0.957172671975261,"5","182"
"47","AT5G50920.1","| Symbols: CLPC, ATHSP93-V, HSP93-V, DCA1, CLPC1 | CLPC homologue 1 | chr5:20715710-20719800 REVERSE LENGTH=929",521210,498716.25,1316811.75,0.956843210989812,2.52645143032559,0.557643219491513,0.00869334243311114,"5","163"
"48","AT3G48870.1","| Symbols: CLPC, ATHSP93-V, HSP93-V, DCA1, CLPC1 | CLPC homologue 1 | chr5:20715710-20719800 REVERSE LENGTH=929",521210,498716.25,1316811.75,0.956843210989812,2.52645143032559,0.557643219491513,0.00869334243311114,"5","163"
"49","AT1G18210.1","| Symbols:  | Calcium-binding EF-hand family protein | chr1:6268273-6268785 REVERSE LENGTH=170",36398.3333333333,70033.25,247050.75,1.92407848344704,6.7874192957553,0.160215822215299,0.000956904645953802,"5","325"
"50","AT1G75040.1","| Symbols: PR5, PR-5 | pathogenesis-related gene 5 | chr1:28177754-28178731 FORWARD LENGTH=239",3059089.33333333,2134861.75,1176527.25,0.697874928573514,0.384600487857606,0.82614574691853,0.935868024401278,"5","431"
"51","AT1G11860.1","| Symbols:  | Glycine cleavage T-protein family | chr1:4001801-4003245 FORWARD LENGTH=408",644084.333333333,1509560.5,615285.75,2.34373112630696,0.955287558099276,0.0649696048346659,0.599415545955579,"5","222"
"52","AT1G53240.1","| Symbols: mMDH1 | Lactate/malate dehydrogenase family protein | chr1:19854966-19856802 REVERSE LENGTH=341",477214,820561.25,243762.25,1.71948276873688,0.510802805449966,0.145615498687659,0.915861314950654,"5","229"
"53","AT3G15020.1","| Symbols: mMDH1 | Lactate/malate dehydrogenase family protein | chr1:19854966-19856802 REVERSE LENGTH=341",477214,820561.25,243762.25,1.71948276873688,0.510802805449966,0.145615498687659,0.915861314950654,"5","229"
"54","AT3G15020.2","| Symbols: mMDH1 | Lactate/malate dehydrogenase family protein | chr1:19854966-19856802 REVERSE LENGTH=341",477214,820561.25,243762.25,1.71948276873688,0.510802805449966,0.145615498687659,0.915861314950654,"5","229"
"55","AT1G20020.1","| Symbols: ATLFNR2, FNR2 | ferredoxin-NADP(+)-oxidoreductase 2 | chr1:6942851-6944868 FORWARD LENGTH=369",3157142,2213687.25,1886321,0.701168097602198,0.597477402030064,0.945141110080385,0.9895833443954,"5","201"
"56","AT2G21330.1","| Symbols: FBA1 | fructose-bisphosphate aldolase 1 | chr2:9128416-9130152 REVERSE LENGTH=399",347864.666666667,523820.75,558410.25,1.50581763597721,1.60525141961337,0.0842453439353976,0.0439273748076887,"5","498"
"57","AT4G38970.1","| Symbols: FBA2 | fructose-bisphosphate aldolase 2 | chr4:18163714-18165659 REVERSE LENGTH=398",740856,1164230.25,725166.25,1.57146631734102,0.97882213277614,0.148020834572393,0.538885275231975,"5","621"
"58","AT4G03520.1","| Symbols: ATHM2 | Thioredoxin superfamily protein | chr4:1562585-1564055 REVERSE LENGTH=186",32240.3333333333,533367.75,2569306,16.5434936570135,79.6922901955108,0.00240155645444821,0.00298472363177929,"4","159"
"59","AT3G16400.1","| Symbols: ATMLP-470, NSP1, ATNSP1 | nitrile specifier protein 1 | chr3:5566516-5568330 FORWARD LENGTH=470",1624255.66666667,261926.25,55660,0.161259249621416,0.0342680041955628,0.991155997620909,0.992007403733936,"4","297"
"60","AT3G16410.1","| Symbols: ATMLP-470, NSP1, ATNSP1 | nitrile specifier protein 1 | chr3:5566516-5568330 FORWARD LENGTH=470",1624255.66666667,261926.25,55660,0.161259249621416,0.0342680041955628,0.991155997620909,0.992007403733936,"4","297"
"61","AT1G42970.1","| Symbols: GAPB | glyceraldehyde-3-phosphate dehydrogenase B subunit | chr1:16127552-16129584 FORWARD LENGTH=447",1639864.33333333,454075.75,894002,0.276898363340219,0.545168269001115,0.999789748554853,0.999660364225267,"4","225"
"62","AT1G09210.1","| Symbols: CRT1b, AtCRT1b | calreticulin 1b | chr1:2973217-2976655 REVERSE LENGTH=424",6029732.66666667,526661.25,153296.5,0.0873440464303614,0.0254234322605126,0.987204435852379,0.988103504355876,"4","226"
"63","AT1G56340.1","| Symbols: CRT1, CRT1a, AtCRT1a | calreticulin 1a | chr1:21090059-21092630 REVERSE LENGTH=425",4685117.33333333,713838.75,204056.75,0.152363046475108,0.0435542453863838,0.977283901340767,0.980752407903481,"4","251"
"64","AT1G56340.2","| Symbols: CRT1, CRT1a, AtCRT1a | calreticulin 1a | chr1:21090059-21092630 REVERSE LENGTH=425",4685117.33333333,713838.75,204056.75,0.152363046475108,0.0435542453863838,0.977283901340767,0.980752407903481,"4","251"
"65","AT4G20360.1","| Symbols: ATRAB8D, ATRABE1B, RABE1b | RAB GTPase homolog E1B | chr4:10990036-10991466 FORWARD LENGTH=476",800651.666666667,123020,2786691.5,0.153649839401654,3.48052919392745,0.958395190738957,0.00446385777879681,"4","288"
"66","AT4G02930.1","| Symbols: ATRAB8D, ATRABE1B, RABE1b | RAB GTPase homolog E1B | chr4:10990036-10991466 FORWARD LENGTH=476",800651.666666667,123020,2786691.5,0.153649839401654,3.48052919392745,0.958395190738957,0.00446385777879681,"4","288"
"67","AT1G49240.1","| Symbols: ACT8 | actin 8 | chr1:18216539-18217947 FORWARD LENGTH=377",3780309,214814.5,81454.5,0.0568245876196893,0.0215470481381284,0.933010890897452,0.936841774791503,"4","245"
"68","AT3G18780.1","| Symbols: ACT8 | actin 8 | chr1:18216539-18217947 FORWARD LENGTH=377",3780309,214814.5,81454.5,0.0568245876196893,0.0215470481381284,0.933010890897452,0.936841774791503,"4","245"
"69","AT4G20260.1","| Symbols: ATPCAP1, PCAP1 | plasma-membrane associated cation-binding protein 1 | chr4:10941593-10943227 FORWARD LENGTH=225",33926236.3333333,5169353.75,1453571,0.15237038671811,0.0428450413926944,0.974224387214182,0.97811875469656,"4","261"
"70","AT4G20260.6","| Symbols: ATPCAP1, PCAP1 | plasma-membrane associated cation-binding protein 1 | chr4:10941593-10943227 FORWARD LENGTH=225",33926236.3333333,5169353.75,1453571,0.15237038671811,0.0428450413926944,0.974224387214182,0.97811875469656,"4","261"
"71","AT1G66410.1","| Symbols: CAM4, ACAM-4 | calmodulin 4 | chr1:24774431-24775785 REVERSE LENGTH=149",984268,1006704.5,2720084.25,1.0227951127132,2.76356058512519,0.444575076875326,0.000105492100322053,"4","207"
"72","AT2G27030.2","| Symbols: CAM4, ACAM-4 | calmodulin 4 | chr1:24774431-24775785 REVERSE LENGTH=149",984268,1006704.5,2720084.25,1.0227951127132,2.76356058512519,0.444575076875326,0.000105492100322053,"4","207"
"73","AT3G15360.1","| Symbols: ATHM4, TRX-M4, ATM4 | thioredoxin M-type 4 | chr3:5188448-5189457 FORWARD LENGTH=193",611024,3360308.25,5674419.25,5.49947015174527,9.28673710034303,0.00894538836466782,0.00102182779441597,"4","240"
"74","AT5G47210.1","| Symbols:  | Hyaluronan / mRNA binding family | chr5:19169222-19171012 REVERSE LENGTH=357",555189,38392.25,6088,0.0691516762760069,0.0109656351260562,0.971615447099726,0.973933263598773,"4","144"
"75","AT1G48030.1","| Symbols: mtLPD1 | mitochondrial lipoamide dehydrogenase 1 | chr1:17717432-17719141 REVERSE LENGTH=507",10780,162005.25,161959.5,15.0283163265306,15.0240723562152,0.00395946426144512,0.00130784451832113,"4","148"
"76","AT3G17240.1","| Symbols: mtLPD1 | mitochondrial lipoamide dehydrogenase 1 | chr1:17717432-17719141 REVERSE LENGTH=507",10780,162005.25,161959.5,15.0283163265306,15.0240723562152,0.00395946426144512,0.00130784451832113,"4","148"
"77","ATCG00830.1","| Symbols: RPL2.1 | ribosomal protein L2 | chrC:84337-85843 REVERSE LENGTH=274",905468,47817.5,66177.75,0.052809707245314,0.0730867904774106,0.956273377996361,0.954682755741994,"4","114"
"78","AT4G04640.1","| Symbols: ATPC1 | ATPase, F1 complex, gamma subunit protein | chr4:2350761-2351882 REVERSE LENGTH=373",378112.666666667,223009,82617,0.589795105162659,0.218498366448096,0.934690620659593,0.976857377225143,"4","202"
"79","AT1G57720.1","| Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:21377873-21380114 FORWARD LENGTH=413",556909,286718,71981,0.514838151295813,0.129250918911348,0.904165162459329,0.962470240428585,"4","215"
"80","AT1G09640.1","| Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:21377873-21380114 FORWARD LENGTH=413",556909,286718,71981,0.514838151295813,0.129250918911348,0.904165162459329,0.962470240428585,"4","215"
"81","AT1G09640.2","| Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:21377873-21380114 FORWARD LENGTH=413",556909,286718,71981,0.514838151295813,0.129250918911348,0.904165162459329,0.962470240428585,"4","215"
"82","AT5G02500.1","| Symbols: HSC70-1, HSP70-1, AT-HSC70-1, HSC70 | heat shock cognate protein 70-1 | chr5:554055-556334 REVERSE LENGTH=651",1329782.66666667,677546,167455,0.509516342018796,0.12592659251587,0.966754364391642,0.986528203762641,"4","543"
"83","AT1G16030.1","| Symbols: HSC70-1, HSP70-1, AT-HSC70-1, HSC70 | heat shock cognate protein 70-1 | chr5:554055-556334 REVERSE LENGTH=651",1329782.66666667,677546,167455,0.509516342018796,0.12592659251587,0.966754364391642,0.986528203762641,"4","543"
"84","AT5G02500.2","| Symbols: HSC70-1, HSP70-1, AT-HSC70-1, HSC70 | heat shock cognate protein 70-1 | chr5:554055-556334 REVERSE LENGTH=651",1329782.66666667,677546,167455,0.509516342018796,0.12592659251587,0.966754364391642,0.986528203762641,"4","543"
"85","AT1G73260.1","| Symbols: ATKTI1, KTI1 | kunitz trypsin inhibitor 1 | chr1:27547410-27548057 REVERSE LENGTH=215",146745.333333333,419664.75,1807067.5,2.85981666651523,12.3143098247304,0.0805236193328706,0.00117929715814741,"4","226"
"86","AT3G62030.1","| Symbols: ROC4 | rotamase CYP 4 | chr3:22973708-22975139 FORWARD LENGTH=260",2524818.66666667,11829367.5,2102408,4.68523449076739,0.832696631942941,0.0219773937011676,0.896072490191098,"4","173"
"87","AT4G27520.1","| Symbols: ENODL2, AtENODL2 | early nodulin-like protein 2 | chr4:13750668-13751819 REVERSE LENGTH=349",1042369,756358.75,2270102.75,0.72561516123369,2.17783025972568,0.934987865607639,0.00901881660833645,"4","234"
"88","AT3G15730.1","| Symbols: PLDALPHA1, PLD | phospholipase D alpha 1 | chr3:5330835-5333474 FORWARD LENGTH=810",536771.333333333,279769.75,95823.25,0.521208441335044,0.178517823231991,0.947266743379585,0.977145091424711,"4","146"
"89","AT5G04140.1","| Symbols: GLU1, GLS1, GLUS, FD-GOGAT | glutamate synthase 1 | chr5:1130031-1138186 FORWARD LENGTH=1622",730770,741516.25,288795.5,1.0147053792575,0.395193426112183,0.472732445147282,0.997745502031868,"4","111"
"90","AT2G41220.1","| Symbols: GLU1, GLS1, GLUS, FD-GOGAT | glutamate synthase 1 | chr5:1130031-1138186 FORWARD LENGTH=1622",730770,741516.25,288795.5,1.0147053792575,0.395193426112183,0.472732445147282,0.997745502031868,"4","111"
"91","AT2G43570.1","| Symbols: CHI | chitinase, putative | chr2:18076389-18077435 REVERSE LENGTH=277",68594,268786.25,191477.75,3.91850963641135,2.79146499693851,0.0155447507226154,0.0115614052277967,"4","84"
"92","AT4G37930.1","| Symbols: SHM1, STM, SHMT1 | serine transhydroxymethyltransferase 1 | chr4:17831891-17834742 REVERSE LENGTH=517",438913.333333333,139902.5,237621.5,0.318747436851618,0.541385922809362,0.997899310879175,0.998672636536417,"4","142"
"93","AT5G26780.1","| Symbols: SHM1, STM, SHMT1 | serine transhydroxymethyltransferase 1 | chr4:17831891-17834742 REVERSE LENGTH=517",438913.333333333,139902.5,237621.5,0.318747436851618,0.541385922809362,0.997899310879175,0.998672636536417,"4","142"
"94","AT1G09310.1","| Symbols:  | Protein of unknown function, DUF538 | chr1:3009109-3009648 FORWARD LENGTH=179",125674.666666667,240212.75,217451.25,1.91138561470888,1.73027114984722,0.0645266348680942,0.0159017874969041,"4","129"
"95","AT1G56580.1","| Symbols:  | Protein of unknown function, DUF538 | chr1:3009109-3009648 FORWARD LENGTH=179",125674.666666667,240212.75,217451.25,1.91138561470888,1.73027114984722,0.0645266348680942,0.0159017874969041,"4","129"
"96","AT3G12780.1","| Symbols: PGK1 | phosphoglycerate kinase 1 | chr3:4061127-4063140 REVERSE LENGTH=481",982984.666666667,1199253,654802,1.2200119093075,0.6661365351918,0.284581779607784,0.956962785080387,"4","369"
"97","AT5G64120.1","| Symbols:  | Peroxidase superfamily protein | chr5:25659551-25660946 REVERSE LENGTH=328",150811,116429,165797.25,0.772019282413087,1.09937106709723,0.739569166575012,0.348205968434539,"4","196"
"98","AT5G36700.1","| Symbols: ATPGLP1, PGLP1 | 2-phosphoglycolate phosphatase 1 | chr5:14421929-14424430 REVERSE LENGTH=362",1352320.33333333,1256886.25,1154076.25,0.929429380760624,0.85340449415215,0.63525926455319,0.757586315086298,"4","169"
"99","AT5G54770.1","| Symbols: THI1, TZ, THI4 | thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4) | chr5:22246634-22247891 FORWARD LENGTH=349",2935313,245919,44490.5,0.0837794810979272,0.0151569866654766,0.999337514996656,0.999034953374128,"3","206"
"100","AT3G53420.1","| Symbols: PIP2A, PIP2, PIP2;1 | plasma membrane intrinsic protein 2A | chr3:19803906-19805454 REVERSE LENGTH=287",9818377.33333333,576279.25,664075.5,0.0586939399898123,0.0676359725700771,0.981587368873695,0.981273203953005,"3","187"
"101","AT4G02510.1","| Symbols: TOC159, TOC86, PPI2, TOC160, ATTOC159 | translocon at the outer envelope membrane of chloroplasts 159 | chr4:1104766-1109360 FORWARD LENGTH=1503",906889.333333333,100572.75,28524,0.110898591816422,0.03145256973655,0.980111551650326,0.983107204511487,"3","187"
"102","AT2G34790.1","| Symbols: MEE23, EDA28 | FAD-binding Berberine family protein | chr2:14673998-14677237 REVERSE LENGTH=532",515558,395352.5,29356.75,0.76684388565399,0.0569417020005509,0.848083709233241,0.989231341931926,"3","148"
"103","AT1G23820.1","| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378",645394.333333333,115763,25382.5,0.179367859339742,0.039328668829341,0.981050483206634,0.984479252591472,"3","161"
"104","AT1G23820.2","| Symbols: SPDS1 | spermidine synthase 1 | chr1:8420278-8422724 FORWARD LENGTH=378",645394.333333333,115763,25382.5,0.179367859339742,0.039328668829341,0.981050483206634,0.984479252591472,"3","161"
"105","AT1G07920.1","| Symbols:  | GTP binding Elongation factor Tu family protein | chr1:2455559-2457001 FORWARD LENGTH=449",2608273,150230.25,95929.75,0.0575975942702317,0.0367790296491203,0.96462086823233,0.965937675518187,"3","147"
"106","AT5G60390.2","| Symbols:  | GTP binding Elongation factor Tu family protein | chr1:2455559-2457001 FORWARD LENGTH=449",2608273,150230.25,95929.75,0.0575975942702317,0.0367790296491203,0.96462086823233,0.965937675518187,"3","147"
"107","AT1G78300.1","| Symbols: GRF2, 14-3-3OMEGA, GF14 OMEGA | general regulatory factor 2 | chr1:29461883-29463052 FORWARD LENGTH=259",2303297,534013.75,243589,0.231847542891776,0.105756660995087,0.999525796625117,0.999601074542309,"3","483"
"108","AT2G38870.1","| Symbols:  | Serine protease inhibitor, potato inhibitor I-type family protein | chr2:16236546-16237050 REVERSE LENGTH=70",31662.3333333333,23616.75,376637,0.745894174992367,11.8954277953825,0.89119546860575,0.00401100766176813,"3","278"
"109","AT2G44920.2","| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr2:18524419-18526502 FORWARD LENGTH=224",51076.6666666667,662116.25,949177.5,12.9631844286367,18.5833877178098,0.00564648394372943,0.00085805770368027,"3","294"
"110","AT2G44920.1","| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr2:18524419-18526502 FORWARD LENGTH=224",51076.6666666667,662116.25,949177.5,12.9631844286367,18.5833877178098,0.00564648394372943,0.00085805770368027,"3","294"
