Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Marked as,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Gene ID,# Razor Peptides,"Abundances (Normalized): F1: Sample, Flg22","Abundances (Normalized): F2: Sample, Flg22","Abundances (Normalized): F3: Sample, Flg22","Abundances (Normalized): F4: Sample, Flg22","Abundances (Normalized): F5: Sample, Mock","Abundances (Normalized): F6: Sample, Mock","Abundances (Normalized): F7: Sample, Mock","Abundances (Normalized): F8: Sample, Mock",Ratio log2(flg22/Mock),T-Test,,,,,,
High,IsMasterProtein,Q9C9G4,Endonuclease 2 OS=Arabidopsis thaliana OX=3702 GN=ENDO2 PE=1 SV=1,0,Athaliana,68.385,36,7,45,6,290,32.7,6.32,107.29,7,ath:AT1G68290; Q8LCL6; Q9C9G4,1,7165350.321,12284620.08,5914132.688,10185436.51,36997811.71,54230599.42,82535953.87,78591980.25,-2.827559582,0.01596832,,,,,,
High,IsMasterProtein,Q8GUL8,Uncharacterized GPI-anchored protein At5g19230 OS=Arabidopsis thaliana OX=3702 GN=At5g19230 PE=2 SV=1,0,Athaliana,32.003,23,4,46,4,189,20.5,6.29,112.95,4,ath:AT5G19230; Q8GUL8,0,54881193.43,94763484.96,85567536.72,79082305.54,22246383.28,17793592.41,26907630.84,21660721,1.826602924,0.008457074,,,,,,
High,IsMasterProtein,Q8RX86,Alpha-galactosidase 2 OS=Arabidopsis thaliana OX=3702 GN=AGAL2 PE=1 SV=1,0,Athaliana,220.423,66,24,309,23,396,44,7.64,583.03,24,ath:AT5G08370; B9DGL8; Q8RX86; Q9FT98,0,240748588.4,336744005.7,247958867.9,309003939.8,547829758.4,679034969.2,702702573.6,651138746.7,-1.185765928,0.00150677,,,,,,
High,IsMasterProtein,P42760,Glutathione S-transferase F6 OS=Arabidopsis thaliana OX=3702 GN=GSTF6 PE=2 SV=2,0,Athaliana,140.467,88,16,131,9,208,23.5,6.23,248.74,16,ath:AT1G02930; P42760,0,144544613.1,173037960.3,276424056.6,76032427.46,12459765.96,7524392.132,4442640.093,16503745.58,4.032995456,0.037805722,,,,,,
High,IsMasterProtein,O49006,Pectinesterase/pectinesterase inhibitor 3 OS=Arabidopsis thaliana OX=3702 GN=PME3 PE=1 SV=2,0,Athaliana,168.366,37,16,122,12,592,64.2,8.87,288.79,16,ath:AT3G14310; O49006; Q56X61; Q93YZ2; Q9LUL7,3,278154748.5,174022135.1,274304387.8,86098678.43,9433423.908,8786780.711,9112426.853,16457467.79,4.213833142,0.026987399,,,,,,
High,IsMasterProtein,Q9SCV9,Beta-galactosidase 3 OS=Arabidopsis thaliana OX=3702 GN=BGAL3 PE=2 SV=1,0,Athaliana,104.662,26,15,104,11,856,95.1,7.21,220.07,15,ath:AT4G36360; O23243; Q0WLZ5; Q42150; Q42317; Q9SCV9,0,1524859.961,1727099.573,1598777.921,1586850.662,12230222.93,14326198.75,23935562.49,19190454.19,-3.436202928,0.009093321,,,,,,
High,IsMasterProtein,O04529,Metalloendoproteinase 2-MMP OS=Arabidopsis thaliana OX=3702 GN=2MMP PE=1 SV=1,0,Athaliana,5.557,4,2,6,2,378,42,6.23,5.19,2,ath:AT1G70170; O04529; Q0WVU1,0,1701747.895,1903238.204,3581376.516,3327230.63,259731.7395,106201.4989,372557.0086,223808.1406,3.449627704,0.013065008,,,,,,
High,IsMasterProtein,P18612,Stress-induced protein KIN1 OS=Arabidopsis thaliana OX=3702 GN=KIN1 PE=2 SV=1,0,Athaliana,32.349,80,6,43,4,66,6.5,9.13,67.91,6,ath:AT5G15960; P18612,0,422287.654,830641.2896,339775.1736,371713.928,9444633.194,63907106.41,33007414.02,32108866,-6.139307021,0.054269121,,,,,,
High,IsMasterProtein,Q9SRY5,Glutathione S-transferase F7 OS=Arabidopsis thaliana OX=3702 GN=GSTF7 PE=2 SV=3,0,Athaliana,139.004,85,16,117,9,209,23.6,6.62,230.54,16,ath:AT1G02920; O23720; Q541C6; Q9SRY5,6,449304941.5,232311763,504456634.9,239498032.3,37508319.86,42056458.24,29134949.3,44788454.11,3.215340792,0.022872651,,,,,,
High,IsMasterProtein,P31168,Dehydrin COR47 OS=Arabidopsis thaliana OX=3702 GN=COR47 PE=1 SV=2,0,Athaliana,151.204,67,18,127,15,265,29.9,4.77,312.95,18,ath:AT1G20440; P31168; Q39059,2,128246216.9,120311966.1,74228024.58,67084541.18,553926071.7,299073474.1,348325678.7,514431467.6,-2.13777716,0.013878845,,,,,,
High,IsMasterProtein,B9DFR3,Pectin acetylesterase 9 OS=Arabidopsis thaliana OX=3702 GN=PAE9 PE=2 SV=1,0,Athaliana,107.595,51,13,119,13,451,50,8.53,281.58,13,ath:AT5G23870; B9DFR3; Q8W4A4; Q9FF93,0,63103916.39,68158448.33,49671183.02,68175083.17,125190304.2,103146001.3,129869952.7,125626385.9,-0.957733103,0.008040151,,,,,,
High,IsMasterProtein,Q42580,Peroxidase 21 OS=Arabidopsis thaliana OX=3702 GN=PER21 PE=1 SV=1,0,Athaliana,171.031,54,17,215,17,327,36.7,7.4,446.1,17,ath:AT2G37130; Q42580; Q43733; Q93YM9,0,917516029.3,711702196.1,693091382.9,448734605.1,181095653,173008235.6,146331637.3,242543711.3,1.89903593,0.019298382,,,,,,
High,IsMasterProtein,Q9S7H1,"Photosystem I reaction center subunit II-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=psaD1 PE=1 SV=1",0,Athaliana,35.32,46,7,31,1,208,22.6,9.77,46.72,7,ath:AT4G02770; Q8L9B6; Q9S7H1,0,106325.0156,171228.7874,13588.7089,28025.6138,2106064.441,17794001.78,21124147.77,15895951,-7.478479452,0.043288604,,,,,,
High,IsMasterProtein,Q93W03,AT3g56130/F18O21_90 OS=Arabidopsis thaliana OX=3702 GN=BLP3 PE=1 SV=1,0,Athaliana,52.118,42,6,21,6,281,29.6,8.72,51,6,A0A178VL63; Q93W03,0,1674949.054,950442.6569,1844773.493,1917170.936,9384863.768,12104577.72,5993283.129,5646974.859,-2.374838836,0.030945471,,,,,,
High,IsMasterProtein,Q8LF99,Probable xyloglucan endotransglucosylase/hydrolase protein 6 OS=Arabidopsis thaliana OX=3702 GN=XTH6 PE=2 SV=2,0,Athaliana,149.696,54,13,184,12,292,33.7,7.11,356.89,13,ath:AT5G65730; O49542; Q8LF99; Q93ZF8,0,66873294.71,40279729.84,48737862.98,27738633.22,183849709.9,287013833.7,220813643.7,171058360,-2.232120392,0.009012248,,,,,,
High,IsMasterProtein,Q43387,Peroxidase 71 OS=Arabidopsis thaliana OX=3702 GN=PER71 PE=1 SV=1,0,Athaliana,457.631,77,33,3161,33,328,34.9,8.21,7783.46,33,ath:AT5G64120; Q43387; Q9SBA0,0,41964165622,59387616517,65885948128,1.11221E+11,879662247.5,1348685471,4439042482,3359298005,4.795545189,0.018280745,,,,,,
High,IsMasterProtein,Q9LV70,At5g48430 OS=Arabidopsis thaliana OX=3702 GN=MJE7.6 PE=1 SV=1,0,Athaliana,104.702,44,16,72,16,406,44.4,8.69,126.37,16,ath:AT5G48430; Q9LV70,0,242332614.3,117610378.2,141472591.8,56229448.71,2715277.21,229732.04,545065.7149,194211.1406,7.241818162,0.036021208,,,,,,
High,IsMasterProtein,Q9LZT4,Expansin-like A1 OS=Arabidopsis thaliana OX=3702 GN=EXLA1 PE=2 SV=1,0,Athaliana,113.64,62,14,193,12,265,28.7,8,427.5,14,ath:AT3G45970; Q9LZT4,2,195072767,155094829,124545109.2,149736449,538173945.6,358387405.2,670117203,405661543.1,-1.659252331,0.020777692,,,,,,
High,IsMasterProtein,O80731,Pectin acetylesterase 3 OS=Arabidopsis thaliana OX=3702 GN=PAE3 PE=2 SV=1,0,Athaliana,184.442,61,18,196,18,416,45.9,7.27,487.01,18,ath:AT2G46930; O80731,0,109519667.3,119484772.4,115974328.1,111710643.7,258805088.4,238083410.6,287538720.2,206483776.6,-1.117542139,0.004210168,,,,,,
High,IsMasterProtein,Q9LVA3,Plant invertase/pectin methylesterase inhibitor superfamily protein OS=Arabidopsis thaliana OX=3702 GN=PMEI13 PE=1 SV=1,0,Athaliana,34.23,28,5,22,5,203,22.3,7.24,50.44,5,ath:AT5G62360; Q9LVA3,0,3051404.053,2861434.402,3386301.694,3574410.429,13530161.37,12086932.93,16163501.56,24464312.75,-2.363399568,0.014650337,,,,,,
High,IsMasterProtein,Q38814,"Thiamine thiazole synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=THI1 PE=1 SV=1",0,Athaliana,108.681,45,9,83,9,349,36.6,6.23,182.11,9,ath:AT5G54770; Q38814,0,10415387.5,22885742.49,11473669.62,20122535.76,47985266.95,112491909.9,115876274.3,131769569.5,-2.652772941,0.014329711,,,,,,
High,IsMasterProtein,F4K627,"Serine protease inhibitor, potato inhibitor I-type family protein OS=Arabidopsis thaliana OX=3702 GN=UPI PE=1 SV=1",0,Athaliana,16.51,28,2,11,2,99,11.1,5.14,22.65,2,ath:AT5G43580; F4K627,0,7803124.964,13933255.38,12790527.28,10917217.09,730666.1425,1212566.838,1555609.836,2402702.406,2.944929132,0.004510203,,,,,,
High,IsMasterProtein,Q8L716,Splicing factor U2af large subunit B OS=Arabidopsis thaliana OX=3702 GN=U2AF65B PE=1 SV=2,0,Athaliana,16.096,9,3,11,3,589,66.3,9.14,24.42,3,ath:AT1G60900; Q8L716; Q9C961,0,671564.22,720807.2212,839324.5734,1076298.13,1755729.467,1806895.017,2946124.762,2065405,-1.37403769,0.015566508,,,,,,
High,IsMasterProtein,A8MRW1,Plasma membrane intrinsic protein 1B OS=Arabidopsis thaliana OX=3702 GN=PIP1B PE=1 SV=1,0,Athaliana,29.478,20,4,11,3,301,32.4,8.51,27.86,4,A8MRW1,1,1118824.436,1593763.072,,1494225.023,,7124178.649,4949191.149,4815581.344,-2.005280301,0.155695347,,,,,,
High,IsMasterProtein,Q9LNT0,Pathogenesis-related thaumatin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g20030 PE=1 SV=1,0,Athaliana,25.482,27,7,30,5,316,33.5,5.26,46.59,7,Q9LNT0,2,1753644.886,6742832.344,5163262.394,4100782.261,26319971.11,25905979.96,77920705.6,35212364.44,-3.218855873,0.056550358,,,,,,
High,IsMasterProtein,Q94EG6,Uncharacterized protein At5g02240 OS=Arabidopsis thaliana OX=3702 GN=At5g02240 PE=1 SV=1,0,Athaliana,191.57,65,18,218,15,253,27.1,6.62,533.87,18,ath:AT5G02240; Q94EG6; Q9LZK8,0,371527228,428717313.4,441104348.5,467916896.3,321124643.7,253357584.9,266260599.7,295037034,0.589693512,0.019023462,,,,,,
High,IsMasterProtein,Q9FKA5,Uncharacterized protein At5g39570 OS=Arabidopsis thaliana OX=3702 GN=At5g39570 PE=1 SV=1,0,Athaliana,110.53,55,18,78,18,381,43.5,4.78,183.79,18,Q8H7G9; Q9FKA5,0,1302710.924,5019081.116,2961076.646,4820521.819,41994148.6,59601974.16,83689763.88,16857094.34,-3.841262171,0.046248917,,,,,,
High,IsMasterProtein,A0A1P8AVQ6,Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=SIF2 PE=1 SV=1,0,Athaliana,112.902,20,16,85,12,885,98.3,6.27,182.12,16,A0A1P8AVQ6; ath:AT1G51850,3,129013407.5,112972930.4,132998560.9,163108952.4,5175573.362,1564899.088,7133513.548,5405090.563,4.802749966,0.000950539,,,,,,
High,IsMasterProtein,Q9FIA1,GDSL esterase/lipase At5g55050 OS=Arabidopsis thaliana OX=3702 GN=At5g55050 PE=2 SV=1,0,Athaliana,130.627,58,16,146,16,376,41.4,8.53,245.12,16,ath:AT5G55050; Q9FIA1,0,128982716.4,213264520.1,376559393.5,238346720.2,36854147.72,37803202.12,16645354.63,55149522.41,2.708319954,0.036799195,,,,,,
High,IsMasterProtein,Q76FS5,"Solanesyl diphosphate synthase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SPS2 PE=1 SV=1",0,Athaliana,34.779,28,9,17,9,417,46,5.58,26.24,9,ath:AT1G17050; Q76FS5; Q84LG1; Q9SHG4,0,1890680.652,1325221.378,1812648.523,1046300.54,4162912.041,5503492.425,3023479.907,3974449.813,-1.455842726,0.023671521,,,,,,
High,IsMasterProtein,Q8VYN5,Pathogenesis-related thaumatin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g38660 PE=1 SV=1,0,Athaliana,5.517,5,2,3,2,345,35.4,4.68,3.92,2,Q8VYN5,0,26066.00201,13128.8565,2425.114675,26519.96877,1979778.708,1436314.375,2298848.444,894721.0625,-6.599932098,0.013578287,,,,,,
High,IsMasterProtein,Q9C8I6,LRR receptor-like serine/threonine-protein kinase IOS1 OS=Arabidopsis thaliana OX=3702 GN=IOS1 PE=1 SV=1,0,Athaliana,64.877,14,13,74,12,894,99.6,6.18,104.99,13,ath:AT1G51800; Q7FL10; Q9C8I6,0,160431365.7,213667421.2,309323114,293501315.8,800193.3493,897520.903,4049128.059,6144856.898,6.360218393,0.005654322,,,,,,
High,IsMasterProtein,Q8RWU7,Plant UBX domain-containing protein 4 OS=Arabidopsis thaliana OX=3702 GN=PUX4 PE=1 SV=1,0,Athaliana,55.6,23,9,33,8,303,32.9,5.95,67.3,9,ath:AT4G04210; O81456; Q8RWU7,1,4165536.255,5658378.098,2720382.909,2753542.203,9243865.586,14774481.67,19891745.13,22945645,-2.12772346,0.034666272,,,,,,
High,IsMasterProtein,Q9SUA1,DEK domain-containing chromatin-associated protein 3 OS=Arabidopsis thaliana OX=3702 GN=DEK3 PE=1 SV=1,0,Athaliana,43.608,11,8,20,8,763,85.2,5.07,43.83,8,ath:AT4G26630; B9DFH7; Q0WN52; Q0WSS7; Q0WW14; Q8RWF6; Q9SUA1,0,561090.3208,488224.7947,164607.4748,210088.6536,4005600.037,1780339.178,3133860.985,3543035.125,-3.129599879,0.011688609,,,,,,
High,IsMasterProtein,A0A1I9LM56,Beta-galactosidase OS=Arabidopsis thaliana OX=3702 GN=BGAL2 PE=1 SV=1,0,Athaliana,312.22,59,36,339,25,781,88.3,8.6,645.94,36,A0A1I9LM56,11,146566352.7,110093982.7,178620193,67014269.23,628325668,716928483.1,624061025.2,322427075.8,-2.189838558,0.008642819,,,,,,
High,IsMasterProtein,Q9LQ11,F16P17.10 protein OS=Arabidopsis thaliana OX=3702 GN=LRR-RLK PE=1 SV=1,0,Athaliana,8.373,4,2,4,2,890,98,6.42,4.55,2,ath:AT1G62950; Q9LQ11,0,514793.2586,543457.8277,576606.6344,,1805839.971,,1655518.468,,-1.667135762,0.056832348,,,,,,
High,IsMasterProtein,F4KHD5,A-kinase anchor-like protein OS=Arabidopsis thaliana OX=3702 GN=RBB1 PE=1 SV=1,0,Athaliana,1470.347,72,190,1242,190,2889,322.8,4.3,3012.06,190,ath:AT5G40450; F4KHD5,0,469676774,577904586.6,400513912.7,405480481.4,775493502.8,797711138,769760678.5,988594976.5,-0.845886926,0.017533704,,,,,,
High,IsMasterProtein,Q08298,BURP domain protein RD22 OS=Arabidopsis thaliana OX=3702 GN=RD22 PE=2 SV=1,0,Athaliana,71.986,19,9,52,9,392,42.2,9.36,113.9,9,ath:AT5G25610; Q08298; Q56WL9,0,702760.4994,5027345.868,1015969.266,3717530.44,56355858.55,110213811,222820735,21606032.86,-5.29567385,0.108999068,,,,,,
High,IsMasterProtein,Q9ZSI6,At4g01700 OS=Arabidopsis thaliana OX=3702 GN=At4g01700 PE=1 SV=1,0,Athaliana,87.683,53,11,67,11,280,31.4,8.82,149.82,11,ath:AT4G01700; Q9ZSI6,0,144024032.2,94837260.18,132903761.5,75237089.72,6539887.657,1283934.139,1514880.303,5917288.844,4.872833953,0.006804993,,,,,,
High,IsMasterProtein,O80939,L-type lectin-domain containing receptor kinase IV.1 OS=Arabidopsis thaliana OX=3702 GN=LECRK41 PE=2 SV=1,0,Athaliana,29.582,10,5,25,5,675,75.5,7.84,31.17,5,ath:AT2G37710; O80939; Q39139,0,19271777.98,16786851.9,22405121.37,41608255.87,2404024.968,2211373.842,3439582.404,7597600.563,2.676565926,0.017181385,,,,,,
High,IsMasterProtein,P43082,Hevein-like preproprotein OS=Arabidopsis thaliana OX=3702 GN=HEL PE=1 SV=1,0,Athaliana,39.17,26,4,49,4,212,22.9,7.65,125.87,4,ath:AT3G04720; P43082,0,86209501.95,64318980.34,63635496.97,76361354.17,136646364.7,118535234.1,196959708.4,155644038.5,-1.06489792,0.025406608,,,,,,
High,IsMasterProtein,O48963,Phototropin-1 OS=Arabidopsis thaliana OX=3702 GN=PHOT1 PE=1 SV=1,0,Athaliana,36.055,9,7,23,7,996,111.6,7.65,37.1,7,ath:AT3G45780; O48963,0,556768.382,1684516.14,1149002.163,1511458.295,7991815.419,4078627.337,4798229.618,9205377.336,-2.41124734,0.028787643,,,,,,
High,IsMasterProtein,Q9ZP16,Cysteine-rich receptor-like protein kinase 11 OS=Arabidopsis thaliana OX=3702 GN=CRK11 PE=2 SV=2,0,Athaliana,18.087,7,5,14,5,667,74.1,7.64,15.52,5,ath:AT4G23190; O65471; Q9ZP16,0,8579746.638,4984586.803,11845720.55,16412500.09,1152038.647,434650.9684,448167.3494,,3.946244378,0.059202278,,,,,,
High,IsMasterProtein,F4I6B2,SIT4 phosphatase-associated family protein OS=Arabidopsis thaliana OX=3702 GN=At1g30470 PE=1 SV=1,0,Athaliana,65.051,18,12,48,12,811,89.8,4.55,105.86,12,F4I6B2,0,5022281.668,9256280.749,8569748.895,7651791.832,18890088.98,19920889.24,30993094.15,15447522.88,-1.482912709,0.022786892,,,,,,
High,IsMasterProtein,Q9FVQ1,Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1,0,Athaliana,8.805,4,2,3,2,557,58.7,5.22,6.27,2,ath:AT1G48920; Q9FVQ1,0,,199348.6946,114212.2645,126499.2828,636010.1904,565285.2673,1602130.792,1456203.625,-2.859917639,0.094019975,,,,,,
High,IsMasterProtein,Q9C7G9,Serine-type endopeptidase inhibitor OS=Arabidopsis thaliana OX=3702 GN=At1g72060 PE=2 SV=1,0,Athaliana,34.442,59,3,23,3,81,8.7,8.12,57.1,3,ath:AT1G72060; Q9C7G9,0,254126.3254,1016236.346,1414209.528,1404055.151,12253508.98,15870384.76,28292163.46,14722660.59,-4.120946489,0.016279899,,,,,,
High,IsMasterProtein,Q8LPL3,L-ascorbate oxidase OS=Arabidopsis thaliana OX=3702 GN=AAO PE=1 SV=1,0,Athaliana,68.553,25,11,57,10,573,64.2,8.28,90.41,11,ath:AT5G21100; Q8LPL3,1,11941514.26,7443601.35,8481111.524,3893224.736,39283605.43,44131930,36157829.79,22414958.44,-2.160514377,0.005045504,,,,,,
High,IsMasterProtein,F4IHD3,"glucan endo-1,3-beta-D-glucosidase OS=Arabidopsis thaliana OX=3702 GN=At2g05790 PE=1 SV=1",0,Athaliana,89.565,37,13,70,13,472,51.3,6.27,135,13,ath:AT2G05790; F4IHD3,0,11549772.71,13134144.83,9094804.484,23621600.78,49297277.83,40963497.45,116946915.6,84704918.88,-2.346405777,0.046121781,,,,,,
High,IsMasterProtein,F4J9K9,Neurofilament protein-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g05900 PE=1 SV=1,0,Athaliana,511.768,83,61,533,61,673,73.4,4.35,1239.04,61,A0A178VNC0; F4J9K9,0,369610528.5,413433622.7,362568559.4,399933188.2,679446218.2,584499172.6,858214995.1,685456314,-0.861229491,0.018296349,,,,,,
High,IsMasterProtein,O48832,"Protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ERD7 PE=1 SV=1",0,Athaliana,120.243,55,19,69,19,452,49,5.41,130.4,19,ath:AT2G17840; O48832; Q8LA30; Q94II1,0,9026746.711,3169052.576,6572706.04,2419796.236,49947786.91,48868311.2,24870526.14,26654771.28,-2.826902449,0.01600844,,,,,,
High,IsMasterProtein,A0A2H1ZED2,Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g51890 PE=1 SV=1,0,Athaliana,63.654,19,13,55,12,898,100.9,6.67,107.46,13,A0A2H1ZED2,0,19835845.47,37633789.03,50355183.52,84442137.89,1928730.062,2467673.863,4971341.126,9738614.313,3.330986024,0.035854342,,,,,,
High,IsMasterProtein,Q9SA85,Berberine bridge enzyme-like 8 OS=Arabidopsis thaliana OX=3702 GN=At1g30700 PE=2 SV=1,0,Athaliana,105.635,39,27,113,27,527,59.5,9.39,168.97,27,ath:AT1G30700; Q9SA85,0,105105929.4,130367340.3,205399871.7,88695983.9,12235782.29,2621700.954,2682909.051,1084492.469,4.829515609,0.017069266,,,,,,
High,IsMasterProtein,F4JLV4,Protease inhibitor/seed storage/lipid transfer protein (LTP) family protein OS=Arabidopsis thaliana OX=3702 GN=DHYPRP1 PE=1 SV=1,0,Athaliana,71.604,35,10,153,10,375,38.8,8.25,280.12,10,ath:AT4G22470; F4JLV4,0,2126133072,1586708211,1328868643,1433557103,131982096.2,191540157.8,389029339.9,362317107.8,2.590779247,0.010478958,,,,,,
High,IsMasterProtein,Q39108,"Heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GGR PE=1 SV=2",0,Athaliana,51.823,44,11,52,11,326,35.2,6.13,73,11,ath:AT4G38460; Q39108; Q9FPK0; Q9SZM6,0,248901621.4,65056274.76,207360281.2,341905470.2,27401098.14,23109294.14,15821041.61,10402527.38,3.491797249,0.045947365,,,,,,
High,IsMasterProtein,F4HXY8,Ubiquinol-cytochrome C reductase hinge protein OS=Arabidopsis thaliana OX=3702 GN=At1g15120 PE=1 SV=1,0,Athaliana,19.645,15,3,6,3,166,19,5.96,12.57,3,F4HXY8,0,56588.27399,69493.45997,190969.524,216472.4979,818639.2831,4926909.65,2029343.65,908412.5625,-4.024619868,0.128053717,,,,,,
High,IsMasterProtein,O64782,G-type lectin S-receptor-like serine/threonine-protein kinase SD1-29 OS=Arabidopsis thaliana OX=3702 GN=SD129 PE=1 SV=1,0,Athaliana,48.793,16,9,28,9,805,89.8,7.9,48.94,9,ath:AT1G61380; O64782; Q8LEY0,0,4693939.127,12030938.69,14412149.1,11730013.04,2956899.57,1085580.408,2299821.522,2022196.594,2.35751792,0.034915387,,,,,,
High,IsMasterProtein,Q9LTV6,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] OS=Arabidopsis thaliana OX=3702 GN=At3g12800 PE=2 SV=1",0,Athaliana,48.316,37,9,35,9,298,31.8,9.14,54.98,9,ath:AT3G12800; Q67Y37; Q680G7; Q9LTV6,0,27886156,23526122.4,30087214.95,12005429.34,6010405.342,4608886.917,5574386.203,1889311.406,2.370409085,0.009162562,,,,,,
