"Accession","Peptides used for quantitation","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","proteome_1_ID","Short_description","Curator_summary","gene_name"
"AT4G35090.1",5,1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,21,"catalase 2","Encodes a peroxisomal catalase, highly expressed in bolts and leaves.  mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2  sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene.  Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2).","catalase 2 (CAT2)"
"AT1G65930.1",5,1051079.66666667,303138.5,80184,0.288406777919466,0.0762872715959685,0.985374928163621,0.985372222423078,22,"cytosolic NADP+-dependent isocitrate dehydrogenase","Encodes a NADP+-isocitrate dehydrogenase that is believed to function in the cytosol. It appears to contribute to NADPH production under oxidative stress, and thereby to participate in redox signalling linked to defense responses.","cytosolic NADP+-dependent isocitrate dehydrogenase (cICDH)"
"AT1G54340.1",5,1051079.66666667,303138.5,80184,0.288406777919466,0.0762872715959685,0.985374928163621,0.985372222423078,22,"isocitrate dehydrogenase","NADP-specific isocitrate dehydrogenase (ICDH)","isocitrate dehydrogenase (ICDH)"
"AT4G09000.1",5,2203082.33333333,854286,527779.75,0.387768530968808,0.239564242341072,0.997986500071348,0.998690247324925,23,"general regulatory factor 1","Encodes a 14-3-3 gene, designated GRF1 chi (for general regulatory factor1-G-box factor 14-3-3 homolog isoform chi). The major native forms of 14-3-3s are homo- and hetero-dimers, the biological functions of which are to interact physically with specific client proteins and thereby effect a change in the client. As a result, 14-3-3s are involved in a vast array of processes such as the response to stress, cell-cycle control, and apoptosis, serving as adapters, activators, and repressors. There are currently 133 full-length sequences available.","general regulatory factor 1 (GRF1)"
"AT4G09000.2",5,2203082.33333333,854286,527779.75,0.387768530968808,0.239564242341072,0.997986500071348,0.998690247324925,23,"general regulatory factor 1","Encodes a 14-3-3 gene, designated GRF1 chi (for general regulatory factor1-G-box factor 14-3-3 homolog isoform chi). The major native forms of 14-3-3s are homo- and hetero-dimers, the biological functions of which are to interact physically with specific client proteins and thereby effect a change in the client. As a result, 14-3-3s are involved in a vast array of processes such as the response to stress, cell-cycle control, and apoptosis, serving as adapters, activators, and repressors. There are currently 133 full-length sequences available.","general regulatory factor 1 (GRF1)"
"AT5G42980.1",5,797259.666666667,3341798,2811315.75,4.19160549532377,3.5262234721519,0.0164733471692125,0.000162801591249266,24,"thioredoxin 3","encodes a cytosolic thioredoxin that reduces disulfide bridges of target proteins by the reversible formation of a disulfide bridge between two neighboring Cys residues present in the active site. Thioredoxins have been found to regulate a variety of biological reactions in prokaryotic and eukaryotic cells.","thioredoxin 3 (TRX3)"
"AT5G38480.1",5,1030653.66666667,518855,388099,0.503423232052409,0.376556172603729,0.998799009318936,0.999181045995524,25,"general regulatory factor 3","general regulatory factor, a 14-3-3 gene","general regulatory factor 3 (GRF3)"
"AT5G38480.2",5,1030653.66666667,518855,388099,0.503423232052409,0.376556172603729,0.998799009318936,0.999181045995524,25,"general regulatory factor 3","general regulatory factor, a 14-3-3 gene","general regulatory factor 3 (GRF3)"
"AT1G55490.1",5,2214620.66666667,530539.5,312758.75,0.239562245573433,0.141224524230034,0.996297507164796,0.991482316149268,26,"chaperonin 60 beta","encodes the beta subunit of the chloroplast chaperonin 60, a homologue of bacterial GroEL. Mutants in this gene develops lesions on its leaves, expresses systemic acquired resistance (SAR) and develops accelerated cell death to heat shock stress. The protein has molecular chaperone activity for suppressing protein aggregation in vitro.","chaperonin 60 beta (CPN60B)"
"AT5G56500.1",5,2214620.66666667,530539.5,312758.75,0.239562245573433,0.141224524230034,0.996297507164796,0.991482316149268,26,"TCP-1/cpn60 chaperonin family protein","","TCP-1/cpn60 chaperonin family protein"
"AT2G37660.1",5,1066561.66666667,2807065.75,742916,2.63188321662914,0.696552316868692,0.0203678620218515,0.888566345026555,27,"NAD(P)-binding Rossmann-fold superfamily protein","","NAD(P)-binding Rossmann-fold superfamily protein"
"AT1G32060.1",5,4372043.66666667,1635327.75,1063445.75,0.374041952615447,0.243237678092724,0.968392517118109,0.971796667377364,28,"phosphoribulokinase","","phosphoribulokinase (PRK)"
"AT1G62480.1",5,12141295.6666667,1789352.25,2434882,0.147377372162394,0.200545482693816,0.951836680409978,0.94630768178995,29,"Vacuolar calcium-binding protein-related","","Vacuolar calcium-binding protein-related"
"AT4G24770.1",5,1164090,394524.25,503197,0.338912154558496,0.432266405518474,0.974663432144006,0.957172671975261,30,"31-kDa RNA binding protein","Encodes a chloroplast RNA-binding protein.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).  Required for editing and stability of specific chloroplast mRNAs.","31-kDa RNA binding protein (RBP31)"
"AT5G50920.1",5,521210,498716.25,1316811.75,0.956843210989812,2.52645143032559,0.557643219491513,0.00869334243311114,31,"CLPC homologue 1","Encodes a protein that is similar to ATP-dependent Clp protease ATP-binding subunit / ClpC. Involved in protein import into the chloroplast. May provide ATP source that drives the TIC (Translocon at the Inner envelope membrane of Chloroplasts) translocation machinery.","CLPC homologue 1 (CLPC1)"
"AT3G48870.1",5,521210,498716.25,1316811.75,0.956843210989812,2.52645143032559,0.557643219491513,0.00869334243311114,31,"Clp ATPase","Encodes a nuclear encoded protein with similarity to Clpa regulatory subunit of CLP protease complex. The protein is localized to the chloroplast stroma.  May function redundantly with TIC complex  in chloroplast protein import.","HSP93-III"
"AT1G18210.1",5,36398.3333333333,70033.25,247050.75,1.92407848344704,6.7874192957553,0.160215822215299,0.000956904645953802,32,"Calcium-binding EF-hand family protein","","Calcium-binding EF-hand family protein"
"AT1G75040.1",5,3059089.33333333,2134861.75,1176527.25,0.697874928573514,0.384600487857606,0.82614574691853,0.935868024401278,33,"pathogenesis-related gene 5","Thaumatin-like protein involved in response to pathogens.  mRNA level of the PR-5 gene (At1g75040)is significantly changed after cutting the inflorescence stem indicating the existence of a network of signal transducing pathways as other stress-regulated genes (At5g01410, At3g17800, At1g29930)do not response to the treatment.","pathogenesis-related gene 5 (PR5)"
"AT1G11860.1",5,644084.333333333,1509560.5,615285.75,2.34373112630696,0.955287558099276,0.0649696048346659,0.599415545955579,34,"Glycine cleavage T-protein family","","Glycine cleavage T-protein family"
"AT1G53240.1",5,477214,820561.25,243762.25,1.71948276873688,0.510802805449966,0.145615498687659,0.915861314950654,35,"Lactate/malate dehydrogenase family protein","","Lactate/malate dehydrogenase family protein"
"AT3G15020.1",5,477214,820561.25,243762.25,1.71948276873688,0.510802805449966,0.145615498687659,0.915861314950654,35,"Lactate/malate dehydrogenase family protein","","Lactate/malate dehydrogenase family protein"
"AT3G15020.2",5,477214,820561.25,243762.25,1.71948276873688,0.510802805449966,0.145615498687659,0.915861314950654,35,"Lactate/malate dehydrogenase family protein","","Lactate/malate dehydrogenase family protein"
"AT1G20020.1",5,3157142,2213687.25,1886321,0.701168097602198,0.597477402030064,0.945141110080385,0.9895833443954,36,"ferredoxin-NADP(+)-oxidoreductase 2","Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the stroma","ferredoxin-NADP(+)-oxidoreductase 2 (FNR2)"
"AT2G21330.1",5,347864.666666667,523820.75,558410.25,1.50581763597721,1.60525141961337,0.0842453439353976,0.0439273748076887,37,"fructose-bisphosphate aldolase 1","","fructose-bisphosphate aldolase 1 (FBA1)"
"AT4G38970.1",5,740856,1164230.25,725166.25,1.57146631734102,0.97882213277614,0.148020834572393,0.538885275231975,38,"fructose-bisphosphate aldolase 2","Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.","fructose-bisphosphate aldolase 2 (FBA2)"
"AT4G03520.1",4,32240.3333333333,533367.75,2569306,16.5434936570135,79.6922901955108,0.00240155645444821,0.00298472363177929,39,"Thioredoxin superfamily protein","chloroplast localized thioredoxin, similar to prokaryotic types.","ATHM2"
"AT3G16400.1",4,1624255.66666667,261926.25,55660,0.161259249621416,0.0342680041955628,0.991155997620909,0.992007403733936,40,"nitrile specifier protein 1","Encodes a nitrile-specifier protein NSP1 responsible for constitutive and herbivore-induced simple nitrile formation in rosette leaves. NSP1 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation.","nitrile specifier protein 1 (NSP1)"
"AT3G16410.1",4,1624255.66666667,261926.25,55660,0.161259249621416,0.0342680041955628,0.991155997620909,0.992007403733936,40,"nitrile specifier protein 4","Encodes a nitrile-specifier protein NSP4. NSP4 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation.","nitrile specifier protein 4 (NSP4)"
"AT1G42970.1",4,1639864.33333333,454075.75,894002,0.276898363340219,0.545168269001115,0.999789748554853,0.999660364225267,41,"glyceraldehyde-3-phosphate dehydrogenase B subunit","Encodes chloroplast localized glyceraldehyde-3-phosphate dehydrogenase that can use both NADH and NADPH to reduce 1,3-diphosphate glycerate. It forms A2B2 heterotetramers with GapA forms of the GADPH enzyme. These complexes are active in the light under reducing conditions, but show reduced NADPH-dependent activity in response to oxidized thioredoxins and increased NAD(H)/NADP(H) ratios due to the formation of inactive A8B8 hexadecamers.","glyceraldehyde-3-phosphate dehydrogenase B subunit (GAPB)"
"AT1G09210.1",4,6029732.66666667,526661.25,153296.5,0.0873440464303614,0.0254234322605126,0.987204435852379,0.988103504355876,42,"calreticulin 1b","Encodes one of three Arabidopsis calreticulins.","calreticulin 1b (CRT1b)"
"AT1G56340.1",4,4685117.33333333,713838.75,204056.75,0.152363046475108,0.0435542453863838,0.977283901340767,0.980752407903481,43,"calreticulin 1a","Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels.","calreticulin 1a (CRT1a)"
"AT1G56340.2",4,4685117.33333333,713838.75,204056.75,0.152363046475108,0.0435542453863838,0.977283901340767,0.980752407903481,43,"calreticulin 1a","Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels.","calreticulin 1a (CRT1a)"
"AT4G20360.1",4,800651.666666667,123020,2786691.5,0.153649839401654,3.48052919392745,0.958395190738957,0.00446385777879681,44,"RAB GTPase homolog E1B","","RAB GTPase homolog E1B (RABE1b)"
"AT4G02930.1",4,800651.666666667,123020,2786691.5,0.153649839401654,3.48052919392745,0.958395190738957,0.00446385777879681,44,"GTP binding Elongation factor Tu family protein","","GTP binding Elongation factor Tu family protein"
"AT1G49240.1",4,3780309,214814.5,81454.5,0.0568245876196893,0.0215470481381284,0.933010890897452,0.936841774791503,45,"actin 8","Member of a subclass of actins composed of ACT2 and ACT8. Its mRNA is strongly expressed in strongly expressed in leaves, roots, stems, flowers, pollen, and siliques. However, protein expression, assayed by a ACT8:GUS fusion reporter, is very low in pollen.","actin 8 (ACT8)"
"AT3G18780.1",4,3780309,214814.5,81454.5,0.0568245876196893,0.0215470481381284,0.933010890897452,0.936841774791503,45,"actin 2","Encodes an actin that is constitutively expressed in vegetative structures but not pollen. ACT2 is involved in tip growth of root hairs.","actin 2 (ACT2)"
"AT4G20260.1",4,33926236.3333333,5169353.75,1453571,0.15237038671811,0.0428450413926944,0.974224387214182,0.97811875469656,46,"plasma-membrane associated cation-binding protein 1","Encodes a Ca2+ and Cu2+ binding protein. N-terminal myristylation on glycine 2 appears to enable it to associate tightly with the plasma membrane. Recombinant PCaP1 interacts strongly with phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2) and  PtdIns (3,4,5)P3, and weakly with PtdIns(3,5)P2 and PtdIns(4,5). It also interacts with calmodulin (CaM) in a calcium-dependent manner. CaM does not interfere with PCaP1 membrane localization but does weaken interactions between it and the PtdInsPs. PCaP1 has an apparent Kd of 10 uM for Cu2+ and can bind six ions per protein. Transcript levels for PCaP1 first fall and then rise following exposure to CuCl2. Mannitol, sorbitol, and the flg22 oligopeptide also increase expression levels.","plasma-membrane associated cation-binding protein 1 (PCAP1)"
"AT4G20260.6",4,33926236.3333333,5169353.75,1453571,0.15237038671811,0.0428450413926944,0.974224387214182,0.97811875469656,46,"plasma-membrane associated cation-binding protein 1","Encodes a Ca2+ and Cu2+ binding protein. N-terminal myristylation on glycine 2 appears to enable it to associate tightly with the plasma membrane. Recombinant PCaP1 interacts strongly with phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2) and  PtdIns (3,4,5)P3, and weakly with PtdIns(3,5)P2 and PtdIns(4,5). It also interacts with calmodulin (CaM) in a calcium-dependent manner. CaM does not interfere with PCaP1 membrane localization but does weaken interactions between it and the PtdInsPs. PCaP1 has an apparent Kd of 10 uM for Cu2+ and can bind six ions per protein. Transcript levels for PCaP1 first fall and then rise following exposure to CuCl2. Mannitol, sorbitol, and the flg22 oligopeptide also increase expression levels.","plasma-membrane associated cation-binding protein 1 (PCAP1)"
"AT1G66410.1",4,984268,1006704.5,2720084.25,1.0227951127132,2.76356058512519,0.444575076875326,0.000105492100322053,47,"calmodulin 4","encodes a calmodulin","calmodulin 4 (CAM4)"
"AT2G27030.2",4,984268,1006704.5,2720084.25,1.0227951127132,2.76356058512519,0.444575076875326,0.000105492100322053,47,"calmodulin 5","encodes a calmodulin that has higher affinity to kinesin-like calmodulin binding motor protein than CAM4 or CAM6.","calmodulin 5 (CAM5)"
"AT3G15360.1",4,611024,3360308.25,5674419.25,5.49947015174527,9.28673710034303,0.00894538836466782,0.00102182779441597,48,"thioredoxin M-type 4","encodes a prokaryotic thioredoxin","thioredoxin M-type 4 (TRX-M4)"
"AT5G47210.1",4,555189,38392.25,6088,0.0691516762760069,0.0109656351260562,0.971615447099726,0.973933263598773,49,"Hyaluronan / mRNA binding family","","Hyaluronan / mRNA binding family"
"AT1G48030.1",4,10780,162005.25,161959.5,15.0283163265306,15.0240723562152,0.00395946426144512,0.00130784451832113,50,"mitochondrial lipoamide dehydrogenase 1","Encodes a mitochondrial lipoamide dehydrogenase whose expression is induced by light.","mitochondrial lipoamide dehydrogenase 1 (mtLPD1)"
"AT3G17240.1",4,10780,162005.25,161959.5,15.0283163265306,15.0240723562152,0.00395946426144512,0.00130784451832113,50,"lipoamide dehydrogenase 2","lipoamide dehydrogenase precursor","lipoamide dehydrogenase 2 (mtLPD2)"
"ATCG00830.1",4,905468,47817.5,66177.75,0.052809707245314,0.0730867904774106,0.956273377996361,0.954682755741994,51,"ribosomal protein L2","encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex","ribosomal protein L2 (RPL2.1)"
"AT4G04640.1",4,378112.666666667,223009,82617,0.589795105162659,0.218498366448096,0.934690620659593,0.976857377225143,52,"ATPase, F1 complex, gamma subunit protein","One of two genes (with ATPC2) encoding the gamma subunit of Arabidopsis chloroplast ATP synthase.","ATPC1"
"AT1G57720.1",4,556909,286718,71981,0.514838151295813,0.129250918911348,0.904165162459329,0.962470240428585,53,"Translation elongation factor EF1B, gamma chain","","Translation elongation factor EF1B, gamma chain"
"AT1G09640.1",4,556909,286718,71981,0.514838151295813,0.129250918911348,0.904165162459329,0.962470240428585,53,"Translation elongation factor EF1B, gamma chain","","Translation elongation factor EF1B, gamma chain"
"AT1G09640.2",4,556909,286718,71981,0.514838151295813,0.129250918911348,0.904165162459329,0.962470240428585,53,"Translation elongation factor EF1B, gamma chain","","Translation elongation factor EF1B, gamma chain"
"AT5G02500.1",4,1329782.66666667,677546,167455,0.509516342018796,0.12592659251587,0.966754364391642,0.986528203762641,54,"heat shock cognate protein 70-1","encodes a member of heat shock protein 70 family.","heat shock cognate protein 70-1 (HSC70-1)"
"AT1G16030.1",4,1329782.66666667,677546,167455,0.509516342018796,0.12592659251587,0.966754364391642,0.986528203762641,54,"heat shock protein 70B","","heat shock protein 70B (Hsp70b)"
"AT5G02500.2",4,1329782.66666667,677546,167455,0.509516342018796,0.12592659251587,0.966754364391642,0.986528203762641,54,"heat shock cognate protein 70-1","encodes a member of heat shock protein 70 family.","heat shock cognate protein 70-1 (HSC70-1)"
"AT1G73260.1",4,146745.333333333,419664.75,1807067.5,2.85981666651523,12.3143098247304,0.0805236193328706,0.00117929715814741,55,"kunitz trypsin inhibitor 1","Encodes a trypsin inhibitor involved in modulating programmed cell death in plant-pathogen interactions.","kunitz trypsin inhibitor 1 (KTI1)"
"AT3G62030.1",4,2524818.66666667,11829367.5,2102408,4.68523449076739,0.832696631942941,0.0219773937011676,0.896072490191098,56,"rotamase CYP 4","nuclear-encoded chloroplast stromal cyclophilin CYP20-3 (also known as ROC4). Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.","rotamase CYP 4 (ROC4)"
"AT4G27520.1",4,1042369,756358.75,2270102.75,0.72561516123369,2.17783025972568,0.934987865607639,0.00901881660833645,57,"early nodulin-like protein 2","","early nodulin-like protein 2 (ENODL2)"
"AT3G15730.1",4,536771.333333333,279769.75,95823.25,0.521208441335044,0.178517823231991,0.947266743379585,0.977145091424711,58,"phospholipase D alpha 1","Encodes phospholipase D alpha 1 (PLD alpha 1). Positive regulator of abscisic acid (ABA) mediated stomatal movements.  PLD alpha 1 plays an important role in seed deterioration and aging in Arabidopsis.","phospholipase D alpha 1 (PLDALPHA1)"
"AT5G04140.1",4,730770,741516.25,288795.5,1.0147053792575,0.395193426112183,0.472732445147282,0.997745502031868,59,"glutamate synthase 1","Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation.","glutamate synthase 1 (GLU1)"
"AT2G41220.1",4,730770,741516.25,288795.5,1.0147053792575,0.395193426112183,0.472732445147282,0.997745502031868,59,"glutamate synthase 2","Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression is most abundant in root.","glutamate synthase 2 (GLU2)"
"AT2G43570.1",4,68594,268786.25,191477.75,3.91850963641135,2.79146499693851,0.0155447507226154,0.0115614052277967,60,"chitinase, putative","","""chitinase, putative"" (CHI)"
