"","Accession","Unique peptides","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","proteome_2_ID","Short_description","Curator_summary","gene_name"
"38","AT5G13120.1",2,3118.33333333333,45363.6666666667,77145.3333333333,14.5474078033137,24.7392838054516,0.00181108887100953,2.44142117526448e-05,37,"cyclophilin 20-2","Encodes a lumenal cyclophilin with peptidyl-prolyl isomerase activity that is associated with the NAD(P)H dehydrogenase complex in stromal regions of the thylakoid membrane. It is likely to be important for the accumulation of the hydrophobic domain of the NAD(P)H dehydrogenase complex. This complex is associated with PSI and is responsible for the reduction of plastoquinone.","cyclophilin 20-2 (CYP20-2)"
"39","AT2G44920.2",4,28403,394893.333333333,1175048,13.9032261850274,41.3705594479456,0.00202632956273196,0.000341499307608474,38,"Tetratricopeptide repeat (TPR)-like superfamily protein","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"40","AT2G44920.1",4,28403,394893.333333333,1175048,13.9032261850274,41.3705594479456,0.00202632956273196,0.000341499307608474,38,"Tetratricopeptide repeat (TPR)-like superfamily protein","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"41","AT1G78680.1",1,979.666666666667,13551.6666666667,24040.6666666667,13.832936372916,24.5396393331065,3.26431244574545e-05,0.000246798698131688,39,"gamma-glutamyl hydrolase 2","The Arabidopsis protein AtGGH2 is a gamma-glutamyl hydrolase acting specifically on monoglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.","gamma-glutamyl hydrolase 2 (GGH2)"
"42","AT2G06050.1",1,339.666666666667,4683,7342,13.7870461236506,21.6153091265947,2.95921135185305e-05,3.55815203702453e-06,40,"oxophytodienoate-reductase 3","Encodes a 12-oxophytodienoate reductase that is required for jasmonate biosynthesis. Mutants are male sterile and defective in pollen dehiscence. Shows activity towards 2,4,6-trinitrotoluene.","oxophytodienoate-reductase 3 (OPR3)"
"43","AT1G31160.1",1,1984.66666666667,27186.3333333333,37979,13.6981860933826,19.1362109506214,0.000521265353644222,9.01023878023221e-05,41,"HISTIDINE TRIAD NUCLEOTIDE-BINDING 2","Encodes a member of the histidine triad nucleotide-binding family of proteins, but its activity has not been determined.","HISTIDINE TRIAD NUCLEOTIDE-BINDING 2 (HINT 2)"
"44","AT3G50820.1",3,18115.3333333333,247736.333333333,680004.666666667,13.6755050969713,37.5375188606337,6.02151918828663e-05,7.00382839936085e-05,42,"photosystem II subunit O-2","Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII.","photosystem II subunit O-2 (PSBO2)"
"45","AT5G61130.1",1,1033.33333333333,13672.3333333333,22588,13.2312903225806,21.8593548387097,0.00201978397838111,1.58850589048125e-05,43,"plasmodesmata callose-binding protein 1","Encodes a plasmodesmatal localized protein with callose binding activity. The function of PDCB1 is unknown but overexpression leads to the hyperaccumulation of callose.","plasmodesmata callose-binding protein 1 (PDCB1)"
"46","AT5G57850.1",1,108.333333333333,1324.33333333333,4590.33333333333,12.2246153846154,42.3723076923077,0.0130377214491178,0.00131675067120888,44,"D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein","","D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein"
"47","AT1G76100.1",2,207426.666666667,2492995,4469266,12.018681301022,21.5462460628656,3.83094461184706e-06,0.00085562595626011,45,"plastocyanin 1","One of two Arabidopsis plastocyanin genes. Expressed at 1/10th level of PETE2. Does not respond to increased copper levels and is thought to be the isoform that participates in electron transport under copper-limiting conditions.","plastocyanin 1 (PETE1)"
"48","AT5G55220.1",1,1994.33333333333,22689.3333333333,40593,11.3769012201237,20.3541701487548,3.38149740952266e-05,0.000102050793640901,46,"trigger factor type chaperone family protein","","trigger factor type chaperone family protein"
"49","AT5G16840.1",1,1491,16697,50390.6666666667,11.1985244802146,33.7965571205008,0.00443416213915963,0.00290711253795815,47,"binding partner of acd11 1","","binding partner of acd11 1 (BPA1)"
"50","AT5G13410.1",1,383.333333333333,4274.66666666667,9979.66666666667,11.1513043478261,26.0339130434783,0.0635038873880775,3.26709144423849e-05,48,"FKBP-like peptidyl-prolyl cis-trans isomerase family protein","","FKBP-like peptidyl-prolyl cis-trans isomerase family protein"
"51","AT5G40370.1",4,102646,1139024.33333333,1807317.66666667,11.096626593665,17.6072878306672,0.000113560101910573,5.93226528505785e-05,49,"Glutaredoxin family protein","","Glutaredoxin family protein"
"52","AT5G40370.2",4,102646,1139024.33333333,1807317.66666667,11.096626593665,17.6072878306672,0.000113560101910573,5.93226528505785e-05,49,"Glutaredoxin family protein","","Glutaredoxin family protein"
"53","AT1G42480.1",1,645.666666666667,7153,11250,11.0784718637068,17.4238513164688,0.000158259212734063,1.57473479969182e-06,50,"","","unknown protein"
"54","AT3G12580.1",1,2121,22395.6666666667,66644,10.5590130441616,31.4210278170674,0.000742911253454362,0.00164577801959532,51,"heat shock protein 70","","heat shock protein 70 (HSP70)"
"55","AT5G39050.1",2,1864.33333333333,19550.6666666667,70014.6666666667,10.4866797782943,37.5548006436617,0.00205699805753619,0.00035901509090148,52,"HXXXD-type acyl-transferase family protein","","HXXXD-type acyl-transferase family protein"
"56","AT1G50250.1",1,656.333333333333,6835.33333333333,21961,10.4144235652616,33.4601320467242,0.0035165240434114,0.00189701254782386,53,"FTSH protease 1","encodes an FTSH protease that is localized to the chloroplast. Involved in the D1 repair cycle of Photosystem II. FtsH1 and FtsH5 are interchangeable in thylakoid membranes.","FTSH protease 1 (FTSH1)"
"57","AT1G18190.1",1,6724,69128,112545,10.2807852468769,16.7378048780488,0.000614215374106083,8.02246624500883e-07,54,"golgin candidate 2","This gene is predicted to encode a protein that functions as a Golgi apparatus structural component known as a golgin in mammals and yeast.  A fluorescently-tagged version of GC2 co-localizes with Golgi markers, and this localization appears to be replicated using the C-terminal (508668 aa) portion of the protein.","golgin candidate 2 (GC2)"
"58","AT3G27830.1",1,1814,18526,104278.666666667,10.212789415656,57.4854832782065,0.0161888231405049,0.00296117274594752,55,"ribosomal protein L12-A","50S ribosomal protein L12-A","ribosomal protein L12-A (RPL12-A)"
"59","AT1G66100.1",1,2833,28789,114950,10.162019061066,40.5753618072714,0.000330801327877904,0.00447320246374062,56,"Plant thionin","Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant thionin (PR-13) family with the following members: At1g66100, At5g36910, At1g72260, At2g15010, At1g12663, At1g12660.","Plant thionin"
"60","AT2G48000.1",1,46395.3333333333,430646.333333333,382443.666666667,9.28210452200652,8.24314945468653,0.00536044692287673,0.00031545223476465,57,"Pentatricopeptide repeat (PPR) superfamily protein","","Pentatricopeptide repeat (PPR) superfamily protein"
"61","AT3G44110.1",1,794.333333333333,7217.33333333333,22826,9.08602601762484,28.7360469995804,6.25992544377965e-05,0.00769574205338186,58,"DNAJ homologue 3","homologous to the co-chaperon DNAJ protein from E coli","DNAJ homologue 3 (ATJ3)"
"62","AT2G27790.1",1,35522,317631.333333333,207587.666666667,8.9418200927125,5.84391832291725,0.00186674195465805,0.00396604516944476,59,"RNA-binding (RRM/RBD/RNP motifs) family protein","","RNA-binding (RRM/RBD/RNP motifs) family protein"
"63","AT1G31150.1",1,734.666666666667,6494.66666666667,4582.33333333333,8.84029038112523,6.23729582577132,0.0571468734783125,0.0610249561991792,60,"Domain of unknown function (DUF1985)","","FUNCTIONS IN: sequence-specific DNA binding transcription factor activity"
"64","AT3G52960.1",10,232574,1989743,4582750,8.55531142776063,19.7044811543853,1.56922971617145e-06,1.57622066275635e-08,61,"Thioredoxin superfamily protein","","Thioredoxin superfamily protein"
"65","AT2G42540.1",3,24681.6666666667,200869.333333333,353600,8.13840232291174,14.326423121075,0.000802926844740911,0.000726752586008121,62,"cold-regulated 15a","A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA).","cold-regulated 15a (COR15A)"
"66","AT2G42540.3",3,24681.6666666667,200869.333333333,353600,8.13840232291174,14.326423121075,0.000802926844740911,0.000726752586008121,62,"cold-regulated 15a","A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA).","cold-regulated 15a (COR15A)"
"67","AT2G37760.1",1,1105.33333333333,8835.66666666667,12539,7.99366706875754,11.3440892641737,0.0255729145243693,2.35417499026624e-05,63,"NAD(P)-linked oxidoreductase superfamily protein","","NAD(P)-linked oxidoreductase superfamily protein"
"68","AT4G01610.1",1,597.333333333333,4682,14549.6666666667,7.83816964285714,24.3577008928571,0.0033069835713911,0.00119277312720961,64,"Cysteine proteinases superfamily protein","","Cysteine proteinases superfamily protein"
"69","AT4G13700.1",1,8100.33333333333,63366.3333333333,31971.3333333333,7.82268219414839,3.94691576478334,8.80083132865463e-05,0.000834057430667488,65,"purple acid phosphatase 23","","purple acid phosphatase 23 (PAP23)"
"70","AT5G02790.1",2,15895.6666666667,123505,206144,7.76972759871663,12.9685658565227,3.09087453090088e-05,6.65976446672711e-05,66,"Glutathione S-transferase family protein","","Glutathione transferase L3 (GSTL3)"
"71","AT4G37380.1",1,8564,66408,59965.3333333333,7.75432041102289,7.00202397633505,0.0171213467591405,0.00184943976764625,67,"Tetratricopeptide repeat (TPR)-like superfamily protein","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"72","AT2G32080.1",1,1093.66666666667,8420.33333333333,14552,7.69917708015849,13.3056994818653,0.00372402359902542,0.00055202013880445,68,"purin-rich alpha 1","similar to the conserved animal nuclear protein PUR alpha which was implicated in the control of gene transcription and DNA replication","purin-rich alpha 1 (PUR ALPHA-1)"
"73","AT2G27710.1",1,451.333333333333,3445,29157.6666666667,7.63293943870015,64.6033973412112,0.00879271174206122,0.000383864376645502,69,"60S acidic ribosomal protein family","","60S acidic ribosomal protein family"
"74","AT3G09440.1",2,3160.33333333333,23583,76052,7.46218753296066,24.0645501529375,0.00933900437268114,0.00676248755359452,70,"Heat shock protein 70 (Hsp 70) family protein","","Heat shock protein 70 (Hsp 70) family protein"
"75","AT4G10300.1",3,40446.6666666667,294961.666666667,661044.666666667,7.29260754903577,16.3436129882973,8.98519518927301e-05,0.000220369633467055,71,"RmlC-like cupins superfamily protein","","RmlC-like cupins superfamily protein"
"76","AT5G49200.1",1,6145.66666666667,44320.3333333333,116557.333333333,7.21163963768509,18.9657753430601,0.104872115414012,0.0281549209671516,72,"WD-40 repeat family protein / zfwd4 protein (ZFWD4)","","WD-40 repeat family protein / zfwd4 protein (ZFWD4)"
"77","AT1G72230.1",2,9955.66666666667,70111.6666666667,54097.6666666667,7.04238791977768,5.43385676499146,0.000757424252373583,0.00309376161809876,73,"Cupredoxin superfamily protein","","Cupredoxin superfamily protein"
"78","AT5G16620.1",1,2568,17737.3333333333,29717.6666666667,6.90706126687435,11.5723001038422,4.21502743297777e-05,7.50581246835689e-06,74,"hydroxyproline-rich glycoprotein family protein","chloroplast protein import (Tic40)","TIC40"
"79","AT5G19860.1",1,2296.33333333333,15623.6666666667,68242.3333333333,6.80374510088547,29.7179561619974,0.00435907477562907,0.000149451165303425,75,"Protein of unknown function, DUF538","","Protein of unknown function, DUF538"
"80","AT1G13930.1",1,10918.3333333333,70989.3333333333,37729.6666666667,6.50184704625248,3.45562509540528,3.73048042137462e-05,0.00124671018971236,76,"","Involved in response to salt stress.  Knockout mutants are hypersensitive to salt stress.","FUNCTIONS IN: molecular_function unknown"
"81","AT3G59920.1",1,7403.66666666667,47979.6666666667,34401,6.48052766647157,4.64648147314394,0.00248288090567634,0.00710983306411589,77,"RAB GDP dissociation inhibitor 2","RAB GDP DISSOCIATION INHIBITOR 2","RAB GDP dissociation inhibitor 2 (GDI2)"
"82","AT1G68960.1",1,1521.66666666667,9790.33333333333,5920.66666666667,6.43395399780942,3.89090909090909,7.25349643133427e-05,0.000233194222096342,78,"Protein of unknown function (DUF295)","","Protein of unknown function (DUF295)"
"83","AT1G50900.1",1,1741.66666666667,11184.6666666667,17258.3333333333,6.42181818181818,9.90909090909091,0.00181864181899579,0.000898066203022953,79,"Ankyrin repeat family protein","","Ankyrin repeat family protein"
"84","AT3G55040.1",1,1635.33333333333,10289.3333333333,15190,6.2918874847126,9.28862617203424,0.00110811165019451,0.000389152305557221,80,"glutathione transferase lambda 2","Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.","glutathione transferase lambda 2 (GSTL2)"
"85","AT1G12310.1",2,3628.33333333333,22560.6666666667,131838.666666667,6.21791456132292,36.3358750574185,0.00314257036395928,0.000322485941272248,81,"Calcium-binding EF-hand family protein","","Calcium-binding EF-hand family protein"
"86","AT1G62780.1",2,6169.66666666667,38024.3333333333,93117.3333333333,6.16310983845697,15.0927656815603,8.69505373799919e-05,0.000548638114952949,82,"","","unknown protein"
"87","AT5G04430.1",1,947.666666666667,5801.33333333333,12935.3333333333,6.12170242701372,13.6496658459374,0.00142925220049057,0.000102104273080994,83,"binding to TOMV RNA 1L (long form)","Gene model AT5G04430.1 produces active protein. (BTS1S). Binds to ToMV genomic RNA and prevents viral multiplication.","BINDING TO TOMV RNA 1S (SHORT FORM) (BTR1S)"
"88","AT1G22840.1",1,62.3333333333333,382.333333333333,4575.33333333333,6.13368983957219,73.4010695187166,0.0833526149511278,0.00239865478969808,84,"CYTOCHROME C-1","Encodes cytochrome c. Contains two site II (TGGGCC/T) elements, which interact with a  TCP-domain transcription factor, and a downstream  internal telomeric repeat, and are required for expression of the Cytc-1 gene. Promoter directs preferential expression in root and shoot meristems and in anthers.","CYTOCHROME C-1 (CYTC-1)"
"89","AT3G18060.1",1,3873.33333333333,23246.6666666667,10974.6666666667,6.00172117039587,2.83339070567986,2.10566473771486e-05,0.000935545970169988,85,"transducin family protein / WD-40 repeat family protein","","transducin family protein / WD-40 repeat family protein"
"90","AT2G47910.1",1,2745,16382.6666666667,20400.6666666667,5.96818457802064,7.43193685488767,0.000485120364612026,7.68615833928888e-05,86,"chlororespiratory reduction 6","Encodes a chloroplast thylakoid membrane protein. Required for the assembly/accumulation of the NAD(P)H dehydrogenase complex of the photosynthetic electron transport chain.","chlororespiratory reduction 6 (CRR6)"
"91","AT1G51850.1",1,7340,43359.3333333333,61204.6666666667,5.90726612170754,8.33851044504995,0.00254534451412018,0.000925130362748464,87,"Leucine-rich repeat protein kinase family protein","","Leucine-rich repeat protein kinase family protein"
"92","AT2G42530.1",4,31045.3333333333,182326.666666667,399571.666666667,5.87291702456623,12.8705870984367,0.000718210528541124,4.50037699731937e-05,88,"cold regulated 15b","","cold regulated 15b (COR15B)"
"93","AT2G23350.1",2,8095.33333333333,46577.3333333333,85348.6666666667,5.75360289878943,10.54294655357,3.61156282675252e-05,2.08985826897494e-07,89,"poly(A) binding protein 4","polyadenylate-binding protein, putative / PABP, putative.Member of the Class II family of PABP proteins. Highly and ubiquitously expressed.","poly(A) binding protein 4 (PAB4)"
"94","AT5G53140.1",1,3701,21146,13751.6666666667,5.7135909213726,3.71566243357651,0.00196121361150152,0.00401987569592026,90,"Protein phosphatase 2C family protein","","Protein phosphatase 2C family protein"
"95","AT2G17190.1",1,561.333333333333,3163,25215.3333333333,5.63479809976247,44.9204275534442,0.000893056518623394,0.000983345954144681,91,"ubiquitin family protein","","ubiquitin family protein"
"96","AT5G19450.1",1,296,1642.66666666667,9313.33333333333,5.54954954954955,31.463963963964,0.000239163371135817,0.000730565705570139,92,"calcium-dependent protein kinase 19","calcium-dependent protein kinase (CDPK19) mRNA, complete","calcium-dependent protein kinase 19 (CDPK19)"
"97","AT4G23210.1",1,363,1996.66666666667,3912.33333333333,5.50045913682277,10.7777777777778,0.000646657545160745,0.0143077196310684,93,"cysteine-rich RLK (RECEPTOR-like protein kinase) 13","Encodes a Cysteine-rich receptor-like kinase (CRK13).  Overexpression of CRK13 leads to hypersensitive response cell death, and induces defense against pathogens by causing increased accumulation of salicylic acid.","cysteine-rich RLK (RECEPTOR-like protein kinase) 13 (CRK13)"
"98","AT1G10960.1",1,27726.6666666667,152485,858177.333333333,5.49957922577543,30.9513344553979,0.00315412363609882,6.6732595799264e-05,94,"ferredoxin 1","","ferredoxin 1 (FD1)"
"99","AT3G10850.1",1,2485.66666666667,13509,23115,5.43475928657637,9.29931607885208,8.24264723496174e-06,0.000274109706326116,95,"Metallo-hydrolase/oxidoreductase superfamily protein","glyoxalase II cytoplasmic isozyme (Glx2-2) mRNA, complete","GLY2"
"100","AT5G66090.1",1,3016.66666666667,16058.3333333333,30247,5.3232044198895,10.0266298342541,0.00489382679000474,0.000359738614311659,96,"","","unknown protein"
