"","Accession","Description","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","Unique peptides","Confidence score"
"13","AT3G04550.1","| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (",274.333333333333,10945,17327.6666666667,39.8967193195626,63.1628189550425,1.9725162673256e-06,0.000105695160628365,"1","39.68"
"14","AT3G20130.1","| Symbols: CYP705A22 | cytochrome P450, family 705, subfamily A, polypeptide 22 | chr3:7026982-7028613 FORWARD LENGTH=515",1066.66666666667,41569,80977.3333333333,38.9709375,75.91625,0.0209912909176801,0.00641250509128191,"1","16.5"
"15","AT5G51710.1","| Symbols: KEA5, ATKEA5 | K+ efflux antiporter 5 | chr5:21004566-21008580 REVERSE LENGTH=568",1393.66666666667,54285.3333333333,50715.6666666667,38.9514470222435,36.3900980626644,0.00941490918455781,0.0161594614298801,"1","18.1"
"16","AT1G04730.1","| Symbols: CTF18 | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:1325385-1331086 REVERSE LENGTH=943",134778.666666667,5240105.33333333,4280980,38.8793379763365,31.7630386609157,0.00011550293640936,1.46241233964512e-05,"1","16.58"
"17","AT3G63170.1","| Symbols:  | Chalcone-flavanone isomerase family protein | chr3:23334675-23335993 FORWARD LENGTH=279",78.6666666666667,2656.66666666667,4897.33333333333,33.771186440678,62.2542372881356,0.00722178272388735,0.00475183375851662,"1","26.72"
"18","AT3G27570.1","| Symbols:  | Sucrase/ferredoxin-like family protein | chr3:10214276-10216681 REVERSE LENGTH=379",899.333333333333,29470.3333333333,39424.6666666667,32.7690882134915,43.8376575240919,0.00247161766282384,5.36750122873092e-07,"1","63.27"
"19","AT1G06530.1","| Symbols:  | Tropomyosin-related | chr1:2001625-2002596 FORWARD LENGTH=323",132,3862.33333333333,17729.6666666667,29.260101010101,134.315656565657,0.0107337304192747,0.00123667995519736,"1","27.88"
"20","AT2G44290.1","| Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr2:18305418-18306202 REVERSE LENGTH=205",1182,34451,54638,29.1463620981387,46.2250423011844,0.000467412019719429,0.000476550071541398,"1","15.09"
"21","AT3G51840.1","| Symbols: ACX4, ATSCX, ATG6 | acyl-CoA oxidase 4 | chr3:19225653-19229008 REVERSE LENGTH=436",264.333333333333,7508.66666666667,18288.6666666667,28.40605296343,69.18789407314,0.00123360840742533,0.00340960064785023,"1","27.79"
"22","AT4G31990.1","| Symbols: ASP5, AAT3, ATAAT1 | aspartate aminotransferase 5 | chr4:15471074-15473521 REVERSE LENGTH=453",557.666666666667,15045.6666666667,17206.3333333333,26.9796772265392,30.8541542139868,0.000172850732612644,0.00193236708941053,"1","38.25"
"23","AT1G53520.1","| Symbols:  | Chalcone-flavanone isomerase family protein | chr1:19976485-19977915 REVERSE LENGTH=287",758.666666666667,17916.6666666667,28319.6666666667,23.615992970123,37.3282073813708,3.0201696679478e-05,0.000334228372468276,"1","39.99"
"24","AT4G23170.1","| Symbols: EP1, CRK9 | receptor-like protein kinase-related family protein | chr4:12135205-12136002 FORWARD LENGTH=265",2156,50845.3333333333,95664.6666666667,23.5831787260359,44.3713667285096,0.00117759633149189,0.000209646081439474,"2","133.61"
"25","AT1G03100.1","| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:744026-746407 REVERSE LENGTH=793",282,5896.66666666667,49473.3333333333,20.9101654846336,175.437352245863,0.0159730367882647,0.00543475966180445,"1","16.73"
"26","AT4G26500.1","| Symbols: EMB1374, CPSUFE, ATSUFE, SUFE1 | chloroplast sulfur E | chr4:13382456-13383571 REVERSE LENGTH=371",217.666666666667,4473.33333333333,10495,20.5513016845329,48.2159264931087,0.00551088418575939,2.98738918667291e-05,"1","15.64"
"27","AT2G04450.1","| Symbols: ATNUDT6, NUDX6, ATNUDX6, NUDT6 | nudix hydrolase homolog 6 | chr2:1543710-1545319 FORWARD LENGTH=283",332,6829.66666666667,23172,20.5712851405622,69.7951807228916,0.0108000926074849,0.000597936455009086,"1","15.02"
"28","AT4G32100.1","| Symbols:  | Beta-1,3-N-Acetylglucosaminyltransferase family protein | chr4:15511757-15512218 REVERSE LENGTH=122",830,16094.6666666667,24679.6666666667,19.3911646586345,29.7345381526104,0.00559058178752089,0.00474981360465372,"1","17.11"
"29","AT3G28930.1","| Symbols: AIG2 | AIG2-like (avirulence induced gene) family protein | chr3:10959890-10960728 REVERSE LENGTH=170",718.333333333333,13437,62106.3333333333,18.7058004640371,86.4589327146172,0.00286963152300713,0.000304157881419099,"2","132.47"
"30","AT4G12720.1","| Symbols: AtNUDT7, GFG1, NUDT7, ATNUDX7 | MutT/nudix family protein | chr4:7487716-7489557 FORWARD LENGTH=282",1884,33807.6666666667,124190,17.9446213729653,65.9182590233546,7.86894318355867e-05,0.00129847826818151,"1","88.34"
"31","AT1G73230.1","| Symbols:  | Nascent polypeptide-associated complex NAC | chr1:27540506-27541364 REVERSE LENGTH=165",2646.66666666667,43293.6666666667,88248,16.3578085642317,33.3430730478589,4.56424023021077e-05,0.00101240605306237,"1","19.89"
"32","AT1G72370.1","| Symbols: P40, AP40, RP40, RPSAA | 40s ribosomal protein SA | chr1:27243148-27244842 REVERSE LENGTH=298",528,8615.33333333333,11209,16.3169191919192,21.2291666666667,0.000178238399228755,0.000450041698317575,"1","18.82"
"33","AT5G58250.1","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ",2605.33333333333,42111.6666666667,122089.666666667,16.1636386898669,46.8614380757421,0.000157898359510079,1.54327078775258e-07,"1","45.44"
"34","AT2G27720.1","| Symbols:  | 60S acidic ribosomal protein family | chr2:11818696-11819370 FORWARD LENGTH=115",1427.33333333333,22791.3333333333,53789.6666666667,15.9677720691266,37.6854273703877,0.00068455434004891,0.000186554259649386,"1","99.12"
"35","AT2G27720.2","| Symbols:  | 60S acidic ribosomal protein family | chr2:11818696-11819370 FORWARD LENGTH=115",1427.33333333333,22791.3333333333,53789.6666666667,15.9677720691266,37.6854273703877,0.00068455434004891,0.000186554259649386,"1","99.12"
"36","AT1G20340.1","| Symbols: DRT112, PETE2 | Cupredoxin superfamily protein | chr1:7042770-7043273 REVERSE LENGTH=167",429218,6801466,10240460,15.846180728674,23.8584122753473,0.00196850030595608,0.00151793189606427,"8","612.28"
"37","AT3G01590.1","| Symbols:  | Galactose mutarotase-like superfamily protein | chr3:226647-228346 FORWARD LENGTH=306",622.666666666667,9701,23346.3333333333,15.5797644539615,37.4941113490364,0.000460188864930069,0.000255723216680184,"1","53.69"
"38","AT5G13120.1","| Symbols: ATCYP20-2, CYP20-2 | cyclophilin 20-2 | chr5:4162714-4164720 REVERSE LENGTH=259",3118.33333333333,45363.6666666667,77145.3333333333,14.5474078033137,24.7392838054516,0.00181108887100953,2.44142117526448e-05,"2","45.08"
"39","AT2G44920.2","| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr2:18524419-18526502 FORWARD LENGTH=224",28403,394893.333333333,1175048,13.9032261850274,41.3705594479456,0.00202632956273196,0.000341499307608474,"4","374.44"
"40","AT2G44920.1","| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr2:18524419-18526502 FORWARD LENGTH=224",28403,394893.333333333,1175048,13.9032261850274,41.3705594479456,0.00202632956273196,0.000341499307608474,"4","374.44"
"41","AT1G78680.1","| Symbols: ATGGH2, GGH2 | gamma-glutamyl hydrolase 2 | chr1:29593933-29596037 FORWARD LENGTH=347",979.666666666667,13551.6666666667,24040.6666666667,13.832936372916,24.5396393331065,3.26431244574545e-05,0.000246798698131688,"1","36.46"
"42","AT2G06050.1","| Symbols: OPR3, DDE1 | oxophytodienoate-reductase 3 | chr2:2359240-2361971 REVERSE LENGTH=391",339.666666666667,4683,7342,13.7870461236506,21.6153091265947,2.95921135185305e-05,3.55815203702453e-06,"1","27.58"
"43","AT1G31160.1","| Symbols: HINT 2 | HISTIDINE TRIAD NUCLEOTIDE-BINDING 2 | chr1:11122880-11124106 REVERSE LENGTH=187",1984.66666666667,27186.3333333333,37979,13.6981860933826,19.1362109506214,0.000521265353644222,9.01023878023221e-05,"1","34.53"
"44","AT3G50820.1","| Symbols: PSBO2, PSBO-2, OEC33 | photosystem II subunit O-2 | chr3:18891008-18892311 REVERSE LENGTH=331",18115.3333333333,247736.333333333,680004.666666667,13.6755050969713,37.5375188606337,6.02151918828663e-05,7.00382839936085e-05,"3","391.67"
"45","AT5G61130.1","| Symbols: PDCB1 | plasmodesmata callose-binding protein 1 | chr5:24587438-24589369 REVERSE LENGTH=201",1033.33333333333,13672.3333333333,22588,13.2312903225806,21.8593548387097,0.00201978397838111,1.58850589048125e-05,"1","16.51"
"46","AT5G57850.1","| Symbols:  | D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein | chr5:23435548-23437287 REVERSE LENGTH=373",108.333333333333,1324.33333333333,4590.33333333333,12.2246153846154,42.3723076923077,0.0130377214491178,0.00131675067120888,"1","43.26"
"47","AT1G76100.1","| Symbols: PETE1 | plastocyanin 1 | chr1:28554217-28554732 REVERSE LENGTH=171",207426.666666667,2492995,4469266,12.018681301022,21.5462460628656,3.83094461184706e-06,0.00085562595626011,"2","153.26"
"48","AT5G55220.1","| Symbols:  | trigger factor type chaperone family protein | chr5:22397677-22400678 FORWARD LENGTH=547",1994.33333333333,22689.3333333333,40593,11.3769012201237,20.3541701487548,3.38149740952266e-05,0.000102050793640901,"1","16.44"
"49","AT5G16840.1","| Symbols: BPA1 | binding partner of acd11 1 | chr5:5536042-5538026 FORWARD LENGTH=259",1491,16697,50390.6666666667,11.1985244802146,33.7965571205008,0.00443416213915963,0.00290711253795815,"1","73.88"
"50","AT5G13410.1","| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr5:4299830-4301706 REVERSE LENGTH=256",383.333333333333,4274.66666666667,9979.66666666667,11.1513043478261,26.0339130434783,0.0635038873880775,3.26709144423849e-05,"1","40.01"
"51","AT5G40370.1","| Symbols:  | Glutaredoxin family protein | chr5:16147826-16149052 REVERSE LENGTH=111",102646,1139024.33333333,1807317.66666667,11.096626593665,17.6072878306672,0.000113560101910573,5.93226528505785e-05,"4","374.05"
"52","AT5G40370.2","| Symbols:  | Glutaredoxin family protein | chr5:16147826-16149052 REVERSE LENGTH=111",102646,1139024.33333333,1807317.66666667,11.096626593665,17.6072878306672,0.000113560101910573,5.93226528505785e-05,"4","374.05"
"53","AT1G42480.1","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pro",645.666666666667,7153,11250,11.0784718637068,17.4238513164688,0.000158259212734063,1.57473479969182e-06,"1","27.66"
"54","AT3G12580.1","| Symbols: HSP70, ATHSP70 | heat shock protein 70 | chr3:3991487-3993689 REVERSE LENGTH=650",2121,22395.6666666667,66644,10.5590130441616,31.4210278170674,0.000742911253454362,0.00164577801959532,"1","236.89"
"55","AT5G39050.1","| Symbols:  | HXXXD-type acyl-transferase family protein | chr5:15634596-15636005 FORWARD LENGTH=469",1864.33333333333,19550.6666666667,70014.6666666667,10.4866797782943,37.5548006436617,0.00205699805753619,0.00035901509090148,"2","79.64"
"56","AT1G50250.1","| Symbols: FTSH1 | FTSH protease 1 | chr1:18614398-18616930 REVERSE LENGTH=716",656.333333333333,6835.33333333333,21961,10.4144235652616,33.4601320467242,0.0035165240434114,0.00189701254782386,"1","46.06"
"57","AT1G18190.1","| Symbols: GC2 | golgin candidate 2 | chr1:6257963-6261325 REVERSE LENGTH=668",6724,69128,112545,10.2807852468769,16.7378048780488,0.000614215374106083,8.02246624500883e-07,"1","15.77"
"58","AT3G27830.1","| Symbols: RPL12-A, RPL12 | ribosomal protein L12-A | chr3:10318576-10319151 FORWARD LENGTH=191",1814,18526,104278.666666667,10.212789415656,57.4854832782065,0.0161888231405049,0.00296117274594752,"1","34.07"
"59","AT1G66100.1","| Symbols:  | Plant thionin | chr1:24605876-24606473 REVERSE LENGTH=134",2833,28789,114950,10.162019061066,40.5753618072714,0.000330801327877904,0.00447320246374062,"1","63.23"
"60","AT2G48000.1","| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr2:19639270-19640803 REVERSE LENGTH=481",46395.3333333333,430646.333333333,382443.666666667,9.28210452200652,8.24314945468653,0.00536044692287673,0.00031545223476465,"1","19.95"
"61","AT3G44110.1","| Symbols: ATJ3, ATJ | DNAJ homologue 3 | chr3:15869115-15871059 REVERSE LENGTH=420",794.333333333333,7217.33333333333,22826,9.08602601762484,28.7360469995804,6.25992544377965e-05,0.00769574205338186,"1","62.02"
"62","AT2G27790.1","| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:11847335-11849285 REVERSE LENGTH=240",35522,317631.333333333,207587.666666667,8.9418200927125,5.84391832291725,0.00186674195465805,0.00396604516944476,"1","24.99"
"63","AT1G31150.1","| Symbols:  | Domain of unknown function (DUF1985) | chr1:11120097-11122412 FORWARD LENGTH=673",734.666666666667,6494.66666666667,4582.33333333333,8.84029038112523,6.23729582577132,0.0571468734783125,0.0610249561991792,"1","16.34"
"64","AT3G52960.1","| Symbols:  | Thioredoxin superfamily protein | chr3:19639699-19640403 FORWARD LENGTH=234",232574,1989743,4582750,8.55531142776063,19.7044811543853,1.56922971617145e-06,1.57622066275635e-08,"10","705.1"
"65","AT2G42540.1","| Symbols: COR15A, COR15 | cold-regulated 15a | chr2:17711241-17711930 REVERSE LENGTH=127",24681.6666666667,200869.333333333,353600,8.13840232291174,14.326423121075,0.000802926844740911,0.000726752586008121,"3","118.61"
"66","AT2G42540.3","| Symbols: COR15A, COR15 | cold-regulated 15a | chr2:17711241-17711930 REVERSE LENGTH=127",24681.6666666667,200869.333333333,353600,8.13840232291174,14.326423121075,0.000802926844740911,0.000726752586008121,"3","118.61"
"67","AT2G37760.1","| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15831995-15833742 FORWARD LENGTH=311",1105.33333333333,8835.66666666667,12539,7.99366706875754,11.3440892641737,0.0255729145243693,2.35417499026624e-05,"1","29.65"
"68","AT4G01610.1","| Symbols:  | Cysteine proteinases superfamily protein | chr4:694857-696937 FORWARD LENGTH=359",597.333333333333,4682,14549.6666666667,7.83816964285714,24.3577008928571,0.0033069835713911,0.00119277312720961,"1","24.95"
"69","AT4G13700.1","| Symbols: ATPAP23, PAP23 | purple acid phosphatase 23 | chr4:7957072-7958919 REVERSE LENGTH=458",8100.33333333333,63366.3333333333,31971.3333333333,7.82268219414839,3.94691576478334,8.80083132865463e-05,0.000834057430667488,"1","19.3"
"70","AT5G02790.1","| Symbols: GSTL3 | Glutathione S-transferase family protein | chr5:632877-634858 FORWARD LENGTH=235",15895.6666666667,123505,206144,7.76972759871663,12.9685658565227,3.09087453090088e-05,6.65976446672711e-05,"2","56.77"
"71","AT4G37380.1","| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr4:17572040-17573938 REVERSE LENGTH=632",8564,66408,59965.3333333333,7.75432041102289,7.00202397633505,0.0171213467591405,0.00184943976764625,"1","16.74"
"72","AT2G32080.1","| Symbols: PUR ALPHA-1 | purin-rich alpha 1 | chr2:13642716-13644036 REVERSE LENGTH=296",1093.66666666667,8420.33333333333,14552,7.69917708015849,13.3056994818653,0.00372402359902542,0.00055202013880445,"1","60.72"
"73","AT2G27710.1","| Symbols:  | 60S acidic ribosomal protein family | chr2:11816929-11817670 FORWARD LENGTH=115",451.333333333333,3445,29157.6666666667,7.63293943870015,64.6033973412112,0.00879271174206122,0.000383864376645502,"1","82.69"
"74","AT3G09440.1","| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr3:2903434-2905632 REVERSE LENGTH=649",3160.33333333333,23583,76052,7.46218753296066,24.0645501529375,0.00933900437268114,0.00676248755359452,"2","369.71"
"75","AT4G10300.1","| Symbols:  | RmlC-like cupins superfamily protein | chr4:6384564-6385946 FORWARD LENGTH=134",40446.6666666667,294961.666666667,661044.666666667,7.29260754903577,16.3436129882973,8.98519518927301e-05,0.000220369633467055,"3","147.11"
"76","AT5G49200.1","| Symbols:  | WD-40 repeat family protein / zfwd4 protein (ZFWD4) | chr5:19947796-19949055 REVERSE LENGTH=419",6145.66666666667,44320.3333333333,116557.333333333,7.21163963768509,18.9657753430601,0.104872115414012,0.0281549209671516,"1","20.35"
"77","AT1G72230.1","| Symbols:  | Cupredoxin superfamily protein | chr1:27188287-27189093 FORWARD LENGTH=181",9955.66666666667,70111.6666666667,54097.6666666667,7.04238791977768,5.43385676499146,0.000757424252373583,0.00309376161809876,"2","50.59"
"78","AT5G16620.1","| Symbols: PDE120, TIC40, ATTIC40 | hydroxyproline-rich glycoprotein family protein | chr5:5450808-5454256 FORWARD LENGTH=447",2568,17737.3333333333,29717.6666666667,6.90706126687435,11.5723001038422,4.21502743297777e-05,7.50581246835689e-06,"1","16.42"
"79","AT5G19860.1","| Symbols:  | Protein of unknown function, DUF538 | chr5:6714533-6715837 REVERSE LENGTH=181",2296.33333333333,15623.6666666667,68242.3333333333,6.80374510088547,29.7179561619974,0.00435907477562907,0.000149451165303425,"1","62.98"
"80","AT1G13930.1","| Symbols:  | Involved in response to salt stress.  Knockout mutants are hypersensitive to salt stress. | chr1:4761091-4761558 FORWARD LENGTH=155",10918.3333333333,70989.3333333333,37729.6666666667,6.50184704625248,3.45562509540528,3.73048042137462e-05,0.00124671018971236,"1","56.99"
"81","AT3G59920.1","| Symbols: ATGDI2, GDI2 | RAB GDP dissociation inhibitor 2 | chr3:22135157-22138221 FORWARD LENGTH=444",7403.66666666667,47979.6666666667,34401,6.48052766647157,4.64648147314394,0.00248288090567634,0.00710983306411589,"1","18.51"
"82","AT1G68960.1","| Symbols:  | Protein of unknown function (DUF295) | chr1:25929943-25931143 FORWARD LENGTH=376",1521.66666666667,9790.33333333333,5920.66666666667,6.43395399780942,3.89090909090909,7.25349643133427e-05,0.000233194222096342,"1","17.32"
"83","AT1G50900.1","| Symbols: GDC1 | Ankyrin repeat family protein | chr1:18866272-18867014 FORWARD LENGTH=175",1741.66666666667,11184.6666666667,17258.3333333333,6.42181818181818,9.90909090909091,0.00181864181899579,0.000898066203022953,"1","22.84"
"84","AT3G55040.1","| Symbols: GSTL2 | glutathione transferase lambda 2 | chr3:20398718-20400305 REVERSE LENGTH=292",1635.33333333333,10289.3333333333,15190,6.2918874847126,9.28862617203424,0.00110811165019451,0.000389152305557221,"1","17.7"
"85","AT1G12310.1","| Symbols:  | Calcium-binding EF-hand family protein | chr1:4187500-4187946 REVERSE LENGTH=148",3628.33333333333,22560.6666666667,131838.666666667,6.21791456132292,36.3358750574185,0.00314257036395928,0.000322485941272248,"2","221.99"
"86","AT1G62780.1","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; Has 94 Blast hits t",6169.66666666667,38024.3333333333,93117.3333333333,6.16310983845697,15.0927656815603,8.69505373799919e-05,0.000548638114952949,"2","91.39"
"87","AT5G04430.1","| Symbols: BTR1, BTR1S | binding to TOMV RNA 1L (long form) | chr5:1250602-1253523 REVERSE LENGTH=313",947.666666666667,5801.33333333333,12935.3333333333,6.12170242701372,13.6496658459374,0.00142925220049057,0.000102104273080994,"1","31.7"
"88","AT1G22840.1","| Symbols: CYTC-1, ATCYTC-A | CYTOCHROME C-1 | chr1:8079384-8080286 FORWARD LENGTH=114",62.3333333333333,382.333333333333,4575.33333333333,6.13368983957219,73.4010695187166,0.0833526149511278,0.00239865478969808,"1","24.49"
"89","AT3G18060.1","| Symbols:  | transducin family protein / WD-40 repeat family protein | chr3:6183880-6186788 FORWARD LENGTH=609",3873.33333333333,23246.6666666667,10974.6666666667,6.00172117039587,2.83339070567986,2.10566473771486e-05,0.000935545970169988,"1","16.51"
"90","AT2G47910.1","| Symbols: CRR6 | chlororespiratory reduction 6 | chr2:19614741-19615559 FORWARD LENGTH=246",2745,16382.6666666667,20400.6666666667,5.96818457802064,7.43193685488767,0.000485120364612026,7.68615833928888e-05,"1","27.46"
"91","AT1G51850.1","| Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19252964-19256783 REVERSE LENGTH=865",7340,43359.3333333333,61204.6666666667,5.90726612170754,8.33851044504995,0.00254534451412018,0.000925130362748464,"1","20.7"
"92","AT2G42530.1","| Symbols: COR15B | cold regulated 15b | chr2:17709191-17709873 REVERSE LENGTH=141",31045.3333333333,182326.666666667,399571.666666667,5.87291702456623,12.8705870984367,0.000718210528541124,4.50037699731937e-05,"4","198.62"
"93","AT2G23350.1","| Symbols: PAB4, PABP4 | poly(A) binding protein 4 | chr2:9943209-9946041 FORWARD LENGTH=662",8095.33333333333,46577.3333333333,85348.6666666667,5.75360289878943,10.54294655357,3.61156282675252e-05,2.08985826897494e-07,"2","50.43"
"94","AT5G53140.1","| Symbols:  | Protein phosphatase 2C family protein | chr5:21549228-21552132 FORWARD LENGTH=420",3701,21146,13751.6666666667,5.7135909213726,3.71566243357651,0.00196121361150152,0.00401987569592026,"1","21.68"
"95","AT2G17190.1","| Symbols:  | ubiquitin family protein | chr2:7478272-7481361 REVERSE LENGTH=538",561.333333333333,3163,25215.3333333333,5.63479809976247,44.9204275534442,0.000893056518623394,0.000983345954144681,"1","31.68"
"96","AT5G19450.1","| Symbols: CDPK19, CPK8 | calcium-dependent protein kinase 19 | chr5:6558672-6561471 REVERSE LENGTH=533",296,1642.66666666667,9313.33333333333,5.54954954954955,31.463963963964,0.000239163371135817,0.000730565705570139,"1","27.25"
"97","AT4G23210.1","| Symbols: CRK13 | cysteine-rich RLK (RECEPTOR-like protein kinase) 13 | chr4:12149154-12151418 REVERSE LENGTH=610",363,1996.66666666667,3912.33333333333,5.50045913682277,10.7777777777778,0.000646657545160745,0.0143077196310684,"1","38.65"
"98","AT1G10960.1","| Symbols: ATFD1, FD1 | ferredoxin 1 | chr1:3664445-3664891 FORWARD LENGTH=148",27726.6666666667,152485,858177.333333333,5.49957922577543,30.9513344553979,0.00315412363609882,6.6732595799264e-05,"1","130.85"
"99","AT3G10850.1","| Symbols: GLX2-2, GLY2 | Metallo-hydrolase/oxidoreductase superfamily protein | chr3:3397756-3399522 REVERSE LENGTH=258",2485.66666666667,13509,23115,5.43475928657637,9.29931607885208,8.24264723496174e-06,0.000274109706326116,"1","19.62"
"100","AT5G66090.1","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archa",3016.66666666667,16058.3333333333,30247,5.3232044198895,10.0266298342541,0.00489382679000474,0.000359738614311659,"1","37.09"
"101","AT1G06680.1","| Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263",831115.333333333,4406158.66666667,12556437.3333333,5.30150087472818,15.1079360826777,0.00050031702444116,0.000358138471627822,"6","401.16"
"102","AT2G43535.1","| Symbols:  | Scorpion toxin-like knottin superfamily protein | chr2:18071130-18071560 FORWARD LENGTH=97",4152.66666666667,20970.3333333333,18591.6666666667,5.04984748755819,4.47704286402312,0.00775969914456138,0.00551301745297802,"1","21.12"
"103","AT3G22980.1","| Symbols:  | Ribosomal protein S5/Elongation factor G/III/V family protein | chr3:8160269-8163316 REVERSE LENGTH=1015",98408,493016.333333333,423004.333333333,5.00992128011273,4.29847505622849,6.3464285091838e-05,2.18969285475917e-05,"1","31.49"
"104","AT5G19230.1","| Symbols:  | Glycoprotein membrane precursor GPI-anchored | chr5:6467636-6468337 FORWARD LENGTH=189",74015.3333333333,365206,684757.333333333,4.93419381569585,9.25156048746656,0.00036734057910249,0.00017730210537337,"3","269.78"
